org:role;slp:resource_uri;org:postIn
57e21784-9ad3-4087-86ff-343c52451584;151ebe32-cdbc-48e3-b053-91a6f1981968;7b2138a6-df61-11e7-baf1-c82a144c0a85
97367f9b-0258-4bdc-bf30-56ccb31658ae;e725755b-d70d-4347-9f5c-cb07dad7128f;7b20f90c-df61-11e7-a941-c82a144c0a85
8088c136-ad7a-4e9e-8a38-efdf8c3bb9a2;6522ff9e-df2e-4a75-be4a-5eb093cc8fdf;7b2139c8-df61-11e7-8d64-c82a144c0a85
0d18f5c3-8f46-4085-aa12-622d7c866c74;44ad0337-ed47-43ba-9b6c-80be17c414ff;7b214546-df61-11e7-b9be-c82a144c0a85
1f7d8f3a-8216-4e7d-ab73-7d0926007c7b;22f0cadf-148e-4358-a531-579c5f5df938;7b214350-df61-11e7-b1a0-c82a144c0a85
f27a82b9-ad22-4bed-9ad4-ea9f1b6f8006;3372311a-1691-45c2-b691-caf54e999958;7b20ed7e-df61-11e7-bb65-c82a144c0a85
26e0ea75-39c5-42ca-b084-7475cb414c26;8043110e-d174-4132-b23c-66391249ec37;7b20f90c-df61-11e7-a941-c82a144c0a85
67c3c804-0761-4695-93ec-b48ddf35855b;0175d997-3cde-4b11-af1c-4d799b4c304f;7b213e50-df61-11e7-918f-c82a144c0a85
1dc6c961-a4c6-4d5c-ab09-243a016f32a6;1a48f4d1-2f58-4967-be83-8a77424e8c9f;7b2139c8-df61-11e7-8d64-c82a144c0a85
3271ca0b-b719-438e-9885-48bc14e239f4;328225da-1d39-4240-930e-a575bede0d69;7b210cfa-df61-11e7-9864-c82a144c0a85
59edf87d-8305-409a-ad9c-3416d52470aa;0b34250f-df45-4ea7-b1b2-2c2f3a96be33;7b214aa8-df61-11e7-a515-c82a144c0a85
5f1b6d85-ccac-4ab9-a0fe-51fced57586d;a807da39-2c6d-42f3-88fb-e7be0947be7c;7b20ed7e-df61-11e7-bb65-c82a144c0a85
b88ba3e8-a23f-4427-a35d-52c5f4cf2234;f8fcbaa8-b628-429d-b1be-7e6309d1d5e1;7b212b86-df61-11e7-9f98-c82a144c0a85
1710d6d1-1421-4c95-8d77-db53f6904623;5f4fc828-458c-4b40-9bf8-9ab7284892ef;7b21152e-df61-11e7-bdcf-c82a144c0a85
9725da60-bd76-46a7-8b72-3d87df884a97;f7a44f97-d19f-4c06-82f2-917e0c1e7706;7b212b86-df61-11e7-9f98-c82a144c0a85
87bba505-8c7e-4334-bc22-2e290a9bd308;73bcf939-e3b1-459a-b969-0497755c1d53;7b21193e-df61-11e7-8869-c82a144c0a85
c6077c6b-1a02-4bba-946a-6f7aab4d969e;afcf5512-f88c-483f-9818-0df0d63c9800;7b210cfa-df61-11e7-9864-c82a144c0a85
b897df6d-cf32-41f0-ae42-a5d0aed41f98;581c87ae-39f8-4ea8-822f-7f8214b196cf;7b211a38-df61-11e7-b1b8-c82a144c0a85
b8f50273-14f0-44fe-8c76-b4a093772e43;143491f6-eb9a-468c-8503-e172b0d9f349;7b2107c8-df61-11e7-a617-c82a144c0a85
c2e4a45f-07f0-49de-ba8b-a5375f957e95;15f0c8b5-49e3-471e-bc3e-129e0e35f305;7b211a38-df61-11e7-b1b8-c82a144c0a85
c3ccb0ea-7b90-4841-b5ec-ce27128da8ec;e107eebb-4b2a-47df-86c8-7f8700799129;7b210070-df61-11e7-97e9-c82a144c0a85
02e1c985-7bc2-4da6-af8c-1f60f2ba86c2;23985962-c221-4802-8ac9-9c514b6b0a49;7b210cfa-df61-11e7-9864-c82a144c0a85
dd89dec2-4c19-48e7-8da2-c1cfe75e549e;98b331c6-1a08-4c06-b975-0530ad9fe81a;7b212e92-df61-11e7-aaf4-c82a144c0a85
e52d25c7-fff0-406f-852e-096ab64a3559;67c4af84-c15e-4f21-8e3f-7fad13249b19;7b21152e-df61-11e7-bdcf-c82a144c0a85
3c0215e4-64b9-414e-a3ac-0cbdf806bd61;7571555a-dead-46b3-9930-9315990d56bb;7b212c9e-df61-11e7-a12b-c82a144c0a85
6c117aab-b4d0-496b-b32e-94e3a65f9eaf;4d683558-8c60-4a37-8398-b863e2c2f7cf;7b214350-df61-11e7-b1a0-c82a144c0a85
37725e1d-2bea-4059-bd70-bf7b5bd0e5d8;c52b0b41-a1ff-4560-9ab9-007ae4bd6a70;7b2138a6-df61-11e7-baf1-c82a144c0a85
73cf0f92-3b1c-413f-9000-fd1d4ca9f91d;a86a46f8-6332-420f-b2ec-db9ecd2c7561;7b210070-df61-11e7-97e9-c82a144c0a85
de7ad82f-c067-4e02-86f9-13f515599b34;b2443e35-5cce-4547-8b83-73c0a0e867f4;7b20e8d8-df61-11e7-8928-c82a144c0a85
3003d8e3-17f3-401b-8dbe-7f386b608e43;03d8e1d3-a0e7-4e92-8937-4a3d4d50445a;7b21152e-df61-11e7-bdcf-c82a144c0a85
d3458969-5ee0-4e38-996b-ab9b25e9d03a;a065ed34-f158-4dd8-ab5a-12417be02fc9;7b21152e-df61-11e7-bdcf-c82a144c0a85
3d64c273-c457-4207-b7af-31b352a449e1;dc0603f9-6448-414e-9eb6-707252f5f50d;7b211b34-df61-11e7-b235-c82a144c0a85
1ac52c4f-4219-47d4-9ad8-6dcb4f66455b;3c0a0f40-b25f-4925-9788-514e41bb3fa4;7b20ed7e-df61-11e7-bb65-c82a144c0a85
