NumeroLegislatura;org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;org:role;resource_uri;org:postIn
55;4e75cf93-2dd6-40af-8aec-acb29b4d61de;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;449;RS;2019-01-31;2015-02-01;b89eb73d-e50a-4a7f-b3d2-5cc4af75b193;2e8cb270-7850-4351-9e50-6cfdb442f9f6;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;e2aa52a3-7282-4407-a392-96d31dd88c59;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;507;PA;2019-01-31;2015-02-01;3c9d860b-7975-45f0-a50d-0509b12cd459;0f9fbedc-6904-4c4c-9002-06aa395bf3c8;81311052-e5b6-46fe-87ba-83865fa0ffb0
56;e2aa52a3-7282-4407-a392-96d31dd88c59;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;507;PA;2023-01-31;2019-02-01;021e8c8f-c9f7-4e3c-9997-6c44426628f2;91bf3938-7737-495e-9195-5a5522b72ff2;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;1fb58ed0-3476-4575-a03c-40498ad78b9f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;490;AP;2015-01-31;2011-02-01;759027f2-9ead-4146-ab46-386068da50d5;26df0816-f0e3-4225-a2f3-b9646ce672e7;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;1fb58ed0-3476-4575-a03c-40498ad78b9f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;490;AP;2019-01-31;2015-02-01;c02d447b-acaf-4224-b0e0-61512d387b19;a4f716a1-049c-4923-9826-bd346cbe70e8;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;4b2d4680-29e7-4799-b3e5-ec7da9665a54;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;453;RO;2015-01-31;2011-02-01;0d31915f-ba5f-4f0e-a4ff-47c53a494130;a6918ae1-506b-4e7c-96aa-c68b98b0a0ec;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;4b2d4680-29e7-4799-b3e5-ec7da9665a54;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;453;RO;2019-01-31;2015-02-01;dc154378-899c-4ae4-aeac-7bb8243ba861;513215e5-1179-4c60-b30b-447017bd7b77;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;4cc6fd4d-56d1-45ae-af2f-ee5b4785ef41;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;2015-01-31;2011-02-01;6872a79d-e770-42ef-8efb-e294487ec76c;8c471103-ebf0-483b-b8b5-17b8286e5103;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;4cc6fd4d-56d1-45ae-af2f-ee5b4785ef41;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;480;RJ;2019-01-31;2015-02-01;b3801e2b-e994-4453-9c94-8ac29a533397;0442a220-77ab-4b46-8bcb-34c514cd439f;81311052-e5b6-46fe-87ba-83865fa0ffb0
54;ba9323ef-f93c-4222-a067-2c2f6bdf1ce1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;2015-01-31;2011-02-01;e7c4137c-dc49-4b90-9df1-806e4fdda362;cf0ee58a-547d-4ea3-a8b8-92f05178a05a;81311052-e5b6-46fe-87ba-83865fa0ffb0
55;ba9323ef-f93c-4222-a067-2c2f6bdf1ce1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;435;MG;2019-01-31;2015-02-01;324c5847-1cee-45d4-8053-8b2604b237d9;d50bbb2a-8299-4d6d-a5ec-74d79d4f64ad;81311052-e5b6-46fe-87ba-83865fa0ffb0
