cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slnp:resource_uri
2011-03-01;GO;2011-02-01;0bffe44b-1d7d-4f60-8c6c-84d0ae92c836;22a2ecf6-5f03-4da9-bc89-48319d152403;4364a2d4-0be8-486f-9090-7a16da646487
2015-01-30;BA;2011-02-01;a7287419-ea91-4e7f-b258-7cc70de94baa;22a2ecf6-5f03-4da9-bc89-48319d152403;2503913e-ba8a-4c59-a39c-baa09192890a
2015-01-30;MG;2011-02-01;7c192fa1-7ce9-41b1-8277-e7a29f4c9d77;22a2ecf6-5f03-4da9-bc89-48319d152403;8f87889b-f176-4c6a-aa8c-722ca1c77282
2012-12-31;RR;2011-02-01;8db78528-3f1a-49cb-901a-ad87737f7d30;22a2ecf6-5f03-4da9-bc89-48319d152403;4f13cc2b-2ed7-4e41-bea5-24a401f810d3
2015-01-30;PR;2011-02-01;4a7ddf6d-6558-4998-9b67-7a28b6af13e9;22a2ecf6-5f03-4da9-bc89-48319d152403;a789285a-b45b-4848-b785-8883eaf59530
2014-12-31;ES;2011-02-01;f66fa22e-27c7-443f-888c-f7238b84a5f2;22a2ecf6-5f03-4da9-bc89-48319d152403;269d71b2-4ff8-4152-9684-758610f09b42
2015-01-30;RJ;2011-02-01;8d64bc18-8355-4a0d-9780-073afb3c0dc0;22a2ecf6-5f03-4da9-bc89-48319d152403;072f9472-6f69-40b2-ab5c-633055cb20ee
2015-01-30;RJ;2011-02-01;05842b87-4457-448b-b583-eb3543dda342;22a2ecf6-5f03-4da9-bc89-48319d152403;f423a2ae-355d-4484-9fb2-6870294d36ae
2015-01-30;AM;2011-02-01;16e285e4-f8fe-49da-93d1-47f0785f3f5f;22a2ecf6-5f03-4da9-bc89-48319d152403;ef69b933-d8ca-4630-9d7b-0cf3e9069cca
2015-01-30;AP;2011-02-01;f1593221-922e-4901-b6d1-0dba00296efb;22a2ecf6-5f03-4da9-bc89-48319d152403;740c609d-a526-4f65-b9b5-89c1456793ab
2015-01-30;MA;2011-02-01;587fd385-7f9c-4643-9b81-ed4e6bb4d877;22a2ecf6-5f03-4da9-bc89-48319d152403;3deabc0e-5dca-4b74-bacb-3831b1716c17
2015-01-30;PE;2011-02-01;52596d5d-4e38-43cf-b44a-b5eb250ad778;22a2ecf6-5f03-4da9-bc89-48319d152403;0c9e9afa-8274-44ca-b80f-b21c95d9dbb0
2015-01-30;PR;2011-02-01;87be15a3-8b55-42f2-b873-2a0bfd1208eb;22a2ecf6-5f03-4da9-bc89-48319d152403;ee50cacf-f13e-4663-8d28-8600cb8122d5
2015-01-30;MG;2011-02-01;15312af3-7297-40e7-95e9-6848e31dea84;22a2ecf6-5f03-4da9-bc89-48319d152403;b3f7cabf-9544-4b27-8186-a96232de5a1f
2015-01-30;AC;2011-02-01;13721608-b90c-4c7b-9b96-2145265a8cdb;22a2ecf6-5f03-4da9-bc89-48319d152403;dd925fca-5db1-48f9-8a12-13dbc28862ee
2015-01-30;BA;2011-02-01;b2a4e5c0-bb70-40c1-a9b9-dae2c46f91f8;22a2ecf6-5f03-4da9-bc89-48319d152403;8fb56087-40a0-4bfd-885b-4834839ad4da
2015-01-30;RN;2011-02-01;978cccea-2fc1-4613-ae30-1cb6deb49c7a;22a2ecf6-5f03-4da9-bc89-48319d152403;b5eb35d4-e731-4da4-abc9-d74cbae9de73
2015-01-30;GO;2011-02-01;b8f231ff-7256-4e71-94aa-5f28a4f7b113;22a2ecf6-5f03-4da9-bc89-48319d152403;009b9df9-30da-46de-ae92-f0a6d8220d53
2015-01-30;SP;2011-02-01;77487be1-162d-450a-8c08-bb8915331513;22a2ecf6-5f03-4da9-bc89-48319d152403;a859b69b-859b-4c11-966f-18af7685297c
2015-01-30;GO;2011-02-01;afc30ab4-482c-4add-9aea-f7a9334bdf8d;22a2ecf6-5f03-4da9-bc89-48319d152403;033b22b2-dcc2-47d2-bc36-2432d852005a
2015-01-30;PR;2011-02-01;e22f08e2-d321-49f0-8eff-0fa4676423cc;22a2ecf6-5f03-4da9-bc89-48319d152403;75e6eb6e-859c-49d0-b134-611b76b60a1a
2014-12-30;AL;2011-02-01;5bc1cb55-fb3f-43c0-9285-7e4bd1b598ca;22a2ecf6-5f03-4da9-bc89-48319d152403;a4cf036f-8912-44ff-a9eb-dea02e48f19c
2011-07-11;MT;2011-02-01;88dcb80a-05e2-4736-ba85-32c467a1f943;22a2ecf6-5f03-4da9-bc89-48319d152403;4157edba-bc6e-4646-ba63-17ebd18e2f5f
