org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slnp:resource_uri
b89f56d8-92bd-4bac-b9fc-b289fcc8ce1c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;2011-02-01;2011-02-01;7034cdda-5695-45e1-a271-5df637db4b27
ddb047c7-a3d7-4fa4-bd43-aa6b475a343f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;473;AM;;2016-04-22;53957b28-0922-4663-b3ae-d0fcb2a68b6d
ddb047c7-a3d7-4fa4-bd43-aa6b475a343f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;473;AM;2015-01-01;2011-02-01;9f6d3445-55ae-4ed8-a099-3cf913f04267
a60899fc-1e25-451d-b522-7182060f8c75;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2016-05-08;2015-01-01;52510c58-ec5d-4028-acb3-1465cf7cc5f4
a60899fc-1e25-451d-b522-7182060f8c75;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2014-11-14;2014-07-17;7dba9ada-4e61-45d5-a2b2-7f23bdaaa1ec
b9167932-893e-47ba-9454-d2cb6c097712;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;472;GO;2012-07-11;2011-02-01;46084e85-5e34-4f33-b91b-9b90da216045
bdffda2d-410e-4d48-a55e-a819a21fe1a1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;;2014-11-22;84544e83-fd90-466b-8211-bd9095059d35
bdffda2d-410e-4d48-a55e-a819a21fe1a1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2014-07-21;2012-04-05;553863dc-877f-49e3-a162-07726d8429c9
bdffda2d-410e-4d48-a55e-a819a21fe1a1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;478;SE;2011-12-05;2011-02-01;666cf361-d3a1-47af-971d-d68058d6dd49
9330f1f0-7ecf-477b-a0ff-4b2754fa9b8d;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;447;MS;2016-05-10;2011-02-01;d7e803c1-6d05-4cda-ad24-55439dc17544
d5bef501-07bc-4b44-8cff-45460fd331b7;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;358;GO;2015-01-31;2010-12-17;2c1317a4-d63c-45d2-a490-0eceb44026d7
4a02d391-aace-41a9-9fa9-5177e353e2b5;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;346;PB;2015-01-31;2008-08-01;8ff893e4-424a-49c0-abfa-bd667606b9c8
4a02d391-aace-41a9-9fa9-5177e353e2b5;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;346;PB;2008-03-30;2007-02-01;c7487aae-e7b6-45f8-9cad-0c26570812e8
da0ee994-727c-4e40-8c15-e3e43924cf0e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;;2013-12-23;8442ecc6-f4c3-4f9f-9a2c-3f22d509d76e
da0ee994-727c-4e40-8c15-e3e43924cf0e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2013-08-07;2013-02-08;1f520636-bdd1-4385-b93d-a44060bc5491
da0ee994-727c-4e40-8c15-e3e43924cf0e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;468;TO;2011-08-31;2011-05-03;99522f0e-94d5-4460-ad20-ddd40efc378d
ce5cce82-8d27-4b57-8e4f-e0f0dcff6b98;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;489;PB;;2017-01-05;cea4381f-0812-4fc2-b836-f0089fba6bdc
ce5cce82-8d27-4b57-8e4f-e0f0dcff6b98;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;489;PB;2016-09-07;2011-11-08;f0e8949e-12e5-4ac3-bd2e-9a349c8b4e93
6909d016-6e71-48cc-b336-350abbce2b32;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;465;SC;;2015-05-19;10295d24-1efc-4bcf-a3eb-8cafdac6693a
4e47ec26-c8a4-46fb-a047-f4df4f2e3cb8;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;489;PB;2017-01-04;2016-09-08;5e4d9f04-fd45-4e36-b8d9-390f0aec8fb0
8d43cf51-3e74-48b2-96a6-afd418ade7b1;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;434;RO;2012-10-29;2012-07-03;154dac0f-2c0c-4612-abeb-48ec03db0d9d
474821b7-f259-4639-81ad-65d604b82f8e;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;360;MS;2013-01-21;2011-06-28;a7e89582-7016-4e1b-96ff-4fc5fb9c7ab7
08094e11-c6bc-48ef-89a6-63d2c598aa35;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;;2016-05-09;e6110b4a-5c66-4866-95b2-d0cbb66100cd
08094e11-c6bc-48ef-89a6-63d2c598aa35;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2015-01-01;2014-11-15;d5cb10dc-7980-4a0d-bad7-f403667c70c7
08094e11-c6bc-48ef-89a6-63d2c598aa35;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;443;PE;2014-07-16;2011-02-01;339df636-4f9c-4297-b329-13aba5a14d21
7f9b3144-788f-4bc6-a283-a4688fa060b9;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;474;SE;;2018-03-23;0740ee17-59a0-4370-8321-193c308a0573
