org:member;org:role;sen:CodigoMandato;sen:UfParlamentar;sen:finishDate;sen:startDate;slp:resource_uri
96178d1f-1f4a-441e-acdf-21bf204b4b99;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;472;GO;2012-07-11;2011-02-01;f4023c20-2145-4014-a5f1-5a7676902f45
141b2529-7665-442e-bd44-b1234706099f;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;499;SC;;2015-02-01;b492521f-ef18-4f80-8042-48512cf83616
56e53c8c-6d86-4df9-a6a4-2b198682e03c;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;518;TO;2016-05-11;2015-02-03;2989c222-afc5-46ab-a4ea-0fe895359fc9
f40e84dd-bbc0-4fdc-a141-26a6d248cce0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;;2018-04-20;24850566-7407-4d3d-8436-2a0459d51e3b
f40e84dd-bbc0-4fdc-a141-26a6d248cce0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;2017-12-15;2015-01-01;a277aeb2-e0f2-4cd5-bf82-c5203b269daf
f40e84dd-bbc0-4fdc-a141-26a6d248cce0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;445;MA;2011-02-01;2011-02-01;4d6d5664-65c7-49e0-890a-78a04dfdc1c6
3bc25a2f-df29-4845-bc06-00e3dbf3a584;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;489;PB;2017-01-04;2016-09-08;b71e86b8-9e8f-48ce-a3c1-09cf060be997
f66e1ec3-415b-401f-a88a-01414d82c371;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;501;AP;;2015-02-01;0b8cf57a-27c6-43d8-8101-f0ca9a71237c
5eb632f8-8b68-4e5d-94b0-dc4f42be6189;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;452;DF;;2011-02-01;4abb1b35-6420-45b1-ba37-003039b568a7
4b51b612-5c4e-4993-9545-1489a8b15361;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;465;SC;;2015-05-19;ae261b2a-d94e-4c5a-ae92-9ab28aa79e69
