cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;PMDB;;59c7bbf5-1b53-471c-8448-8e4f280f52ef;41c1226b-205e-4670-880d-5a7eb40c2274;6130e363-06f7-411a-9a91-eabac610bcc9
;SD;;2ea5d284-fb53-4cc1-8891-aa7843c77504;164dfc2b-2fa1-408c-874f-df59c11649ae;3362322d-c3a9-4e62-b414-6a1b3bd8152b
;PSL;;2ea5d284-fb53-4cc1-8891-aa7843c77504;1462e5e4-47e0-44fd-8f38-a8378f6dfe24;53ab3eff-a7a8-4ba8-a597-3d77b143268d
;PMDB;;6b2cea53-544d-4dbc-84e2-413132f121e6;c8055b87-1350-4bda-a4f1-18cd6de648e1;c36e0e40-096b-477f-beaa-a6c6f475371b
;PMB;;6b2cea53-544d-4dbc-84e2-413132f121e6;65a58ea9-3a3e-4be8-865b-2b12833f932f;eb20aa14-347e-4fb5-8087-3a969093b634
;PTN;;6b2cea53-544d-4dbc-84e2-413132f121e6;9149b08d-1554-4936-8421-7927191fada1;e0eefec3-f331-40e9-9e66-5dbeafe5812a
;PODE;;6b2cea53-544d-4dbc-84e2-413132f121e6;cc9623ee-143b-4570-900e-a7cf09e07b24;07def722-13f0-4eec-a68f-d380f8e9e6ab
;PMDB;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;4e182349-4cd8-432a-b1e3-259d72d3c5be;9167229a-2327-4a76-bc79-007834b7a232
;PSB;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;68541f98-cb63-4e4c-8d46-d32dd09caedc;8adc1ffe-95b6-4f7a-afd0-427dc2e38670
;S.PART.;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;0ff9bdb8-67d0-48eb-8f09-e5ce93884a5a;c6a7cb9f-7fa6-47b5-bb3a-1cfb1d18e281
;DEM;;08f29f51-d0dc-46ac-b318-378e0f7be3d8;f46005b9-d145-49f3-9716-cf1eb4617d27;e9dbe5db-2363-47d5-8bc9-354dc731a1e7
;PSB;;1cc9126a-dd9b-4be8-8e09-0b4c46743473;fbe882cf-497a-4632-a759-ad345ee454b9;3f11801e-5d44-4637-afe9-d8f2c3b20d9c
;PMDB;;0bcb1eba-2805-43e2-8565-959c8b31c187;9175319f-cc94-43ca-8538-3d010400f613;fe8db2ae-9798-489d-8628-ba46a75cbcb8
;PSC;;95fce76e-e824-4977-8386-bffc05763371;e0e70773-0a9a-469d-8d42-b3699e25d315;21b11690-41a8-405f-9090-fbb798107ea9
;PSL;;95fce76e-e824-4977-8386-bffc05763371;3b5afd2c-dc5e-4d31-85fb-548d5c8fb338;7a47413e-66d1-4ee4-857a-b2d9f9ed8c94
;PRTB;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;a2b2346f-ebed-4e6c-8a98-b07a1ef2f851;ac139342-65a7-4493-8f43-dba5c6dde07d
;PSD;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;9bd7a020-d476-4c65-8883-f5dca369a10e;4cbbe8e6-c835-4d18-9d54-415e210fdbcc
;PMDB;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;f4c2009c-7b32-4d36-8e12-c3f37aa67c69;1cf8e031-7f4e-4413-b2aa-1014222cc513
;PODE;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;81ffd13c-b07c-4ec3-8098-4a4d35fbbdc7;0a5e31cb-8102-4f16-acc7-22f5e10b5d10
;PHS;;12742186-5bc8-4bd9-932c-fe247f8c6f3c;192f8fdc-9428-4d4c-a081-8210bf04e41e;e10c8d39-4c53-4c79-9dca-ac37417c2abc
;PSDB;;15d73351-e972-4a4b-8bae-80ac730513b5;dca8cfb6-774e-433b-959c-096e107e70db;98815f33-a3de-4950-920b-9ab8a8280eec
;PSDB;;0328f737-88fc-4325-9e2a-300cec9b9cae;3617ed38-734d-464c-80af-6af4c93645b1;1d5d638c-f1be-4920-8239-774f2a33bd8b
;PSOL;;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;cea718d0-d341-4dab-b1d6-a3fece3c6c28;dfe5f9d2-9076-4041-8e34-b483e54e1fca
;PP;;15a7dab6-461f-4543-929c-93d2e6ed0069;2d858e7c-4bc4-43eb-bb13-f0b9d46d4ce7;167fe21c-7078-48bc-9c5e-9e51d4069622
;PV;;fda9e9b6-791b-4063-92dd-942f1bd28e88;99309d9f-e33c-4db7-b583-7c73afb13d7e;8d3a13d5-6693-4676-8e44-7cbd584b404d
;PSDB;;e4658aff-e9cd-49a5-a2c5-7c557baa744c;57454108-5787-4efd-8484-25af66ffe3f1;28d8be68-cb51-4091-8fe6-d7c20d58a830
;PPS;;e4658aff-e9cd-49a5-a2c5-7c557baa744c;026bb90e-2253-463f-b9c1-abdb00280b73;ee5e85fd-a55d-4eaf-affc-2a1004bb6ae4
;PSDB;;7dd105df-c756-44c3-9a42-7655937beeda;ca354fa5-6ea6-40da-b560-0d5dfb76a647;c0309032-c55b-4e4a-b24e-1085ed36b8aa
;PDT;;ecbfdca4-942a-4477-80f1-5f6935e14eea;aa7e93b3-59c3-43f9-8b7d-0ec9b0bcf893;5c84d025-e7c1-4c67-9aa9-d13b2347ee34
;PSB;;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;64734eb9-f43c-4022-8838-4f16bb7e153f;c064c0de-ddc0-478c-92b1-8ba078221ac8
