cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:role;slp:resource_uri
;2015-02-01;CE;23b18b97-d11c-46ed-8169-896c71ff7030;b27beba7-ca02-4041-a9e0-1793bcd141fe;d972aeca-a74b-43bc-952e-35ddab915151
;2015-02-01;SP;e8fccb5e-7e21-455e-a6a2-b400cb91604e;b27beba7-ca02-4041-a9e0-1793bcd141fe;85fbcffe-6eea-4119-bda4-db2095e58826
;2015-02-01;AP;4070654b-a5b5-4dc1-9848-08f87f5f9893;b27beba7-ca02-4041-a9e0-1793bcd141fe;ae58a305-d8d2-47e1-a16c-d41efcef0670
;2015-02-01;MA;c339b7a0-1f09-49eb-b2da-7d536a0baa2f;b27beba7-ca02-4041-a9e0-1793bcd141fe;fc46209e-afd7-42b4-9f32-cd24436ff141
;2015-02-01;TO;cdc486fd-fa90-4ce2-9ac3-1c9e8547e98a;b27beba7-ca02-4041-a9e0-1793bcd141fe;c9fdbcd4-361f-4dfa-bb0e-50f6ebd95e7d
;2015-02-01;SP;e3fa9616-712b-43c8-9056-044053fcd89f;b27beba7-ca02-4041-a9e0-1793bcd141fe;0d663341-9209-4619-8c25-f0be0a98d6b2
;2015-02-01;MG;734dbcd1-eb66-4b24-ac70-c911da6a8ac3;b27beba7-ca02-4041-a9e0-1793bcd141fe;bd7db5ce-eeb9-4769-afe2-7e76c87e418f
;2015-02-01;SP;08188559-f368-4b5d-b2e1-c9fa4b67b3d5;b27beba7-ca02-4041-a9e0-1793bcd141fe;e66e3d8a-c0b7-4123-bd28-84ea7f5666ac
;2015-02-01;SP;72545472-9772-4d2a-b11e-4209daadcb53;b27beba7-ca02-4041-a9e0-1793bcd141fe;322f7ffc-2823-46c1-99bb-d2b60428780b
2017-07-06;2015-02-01;MT;927e79df-3c9a-4230-bdbb-cabfa2838295;b27beba7-ca02-4041-a9e0-1793bcd141fe;7bbb7351-1a46-4570-b838-49108ec6cc04
;2015-02-01;SP;c4e54cae-0a61-41f7-aead-7e01a510e443;b27beba7-ca02-4041-a9e0-1793bcd141fe;8569def2-bb6d-43d6-a790-68c6ab52f114
;2015-02-01;SC;6a71baef-158f-4269-b65d-b986bcec389e;b27beba7-ca02-4041-a9e0-1793bcd141fe;43abe000-c042-4136-ad18-1bc9a9c6880a
2016-08-01;2015-02-01;PB;bd150be5-b552-4712-b1f5-10dfba06d9d2;b27beba7-ca02-4041-a9e0-1793bcd141fe;4d9aa5a6-92db-4559-9239-a0c024fca691
;2015-02-01;BA;3a1fcdeb-6f59-4b90-a8f4-5bdf382f2720;b27beba7-ca02-4041-a9e0-1793bcd141fe;4cbad283-ea33-4e40-9557-66a07239ea11
;2015-02-01;PR;d463e31b-e886-4ebf-85db-fe6e4590d4e7;b27beba7-ca02-4041-a9e0-1793bcd141fe;69890e70-cafc-46ea-94b3-1b344cce1496
;2015-02-01;MG;0698edbc-7afe-458c-9a02-538d7f357b13;b27beba7-ca02-4041-a9e0-1793bcd141fe;27b701bb-7336-4f83-8b9b-163fddb2c27a
;2015-02-01;BA;f560b04f-8439-4334-ae6c-f2686e605890;b27beba7-ca02-4041-a9e0-1793bcd141fe;a688b438-bb86-4562-87bb-693f1a15288e
;2015-02-01;MG;0b1d69e5-2912-4b72-a3e3-65c1d7c2d55b;b27beba7-ca02-4041-a9e0-1793bcd141fe;2ed9f73e-494e-4381-a3b2-a57824349b49
;2015-02-01;SP;86d9e3eb-d347-4b47-823e-8bebaf710e41;b27beba7-ca02-4041-a9e0-1793bcd141fe;bea48802-a542-4cf9-bd36-69efa258dcd2
;2015-02-01;PE;55fde404-e6b1-4455-817e-0271e56dfa88;b27beba7-ca02-4041-a9e0-1793bcd141fe;98d032ed-a903-4f93-8615-b5568da1b53b
2016-07-12;2015-02-01;SE;17c7295e-824b-496f-b235-9c26a841aeda;b27beba7-ca02-4041-a9e0-1793bcd141fe;697b54de-4693-4e05-a895-cb07175bd0ef
;2015-02-01;PR;3537b64c-c2ce-4abe-9a58-4a9dd967b0a3;b27beba7-ca02-4041-a9e0-1793bcd141fe;910de51f-fab2-4b45-8fa6-f6fd194c5a89
;2015-02-01;MG;d2fbf58a-385d-498f-a17a-698a9b9afaed;b27beba7-ca02-4041-a9e0-1793bcd141fe;49a0cd63-92b6-4e49-8b6c-2b6f10352abd
;2015-02-01;MG;79d1dc88-b446-48fa-bb5b-3368e237d25f;b27beba7-ca02-4041-a9e0-1793bcd141fe;381f0581-8285-4f8d-88bc-327b4265b5f5
2017-01-12;2015-02-01;BA;a5254823-ec75-4d71-8c76-0cadd69fa2ca;b27beba7-ca02-4041-a9e0-1793bcd141fe;902575b8-3388-446a-aeac-2c6f396c9226
;2015-02-01;PA;bda06859-ee9d-4566-862d-4edf308703f6;b27beba7-ca02-4041-a9e0-1793bcd141fe;1193abf6-c854-4998-b9b9-7befed3c0a68
;2015-02-01;RJ;d87242cb-8084-42aa-88a0-0b600c41bc3c;b27beba7-ca02-4041-a9e0-1793bcd141fe;646b8b12-eabc-40a4-bdd8-721c5e2d4534
;2015-02-01;SP;c7b0f208-8316-4721-9b21-7ed1dd4d6cfe;b27beba7-ca02-4041-a9e0-1793bcd141fe;c3795af4-455a-42bd-8c65-c6c7fdc6e36b
;2015-02-01;PE;b6c1f0a1-73db-4745-8204-9ff652978ddb;b27beba7-ca02-4041-a9e0-1793bcd141fe;e0590164-ed3f-4ae9-9c0e-5e8a981b5813
;2015-02-01;RJ;aef3c6ae-a8d9-4ab3-857b-6cee44563d5f;b27beba7-ca02-4041-a9e0-1793bcd141fe;2184caf4-15a8-4827-bb58-3bb71fdb7b10
;2015-02-01;AM;de5d5e17-aacc-4e3c-a192-b3b005a7000c;b27beba7-ca02-4041-a9e0-1793bcd141fe;12309dbf-8b60-4851-a7b7-0eccb2ecc9bb
2015-02-04;2015-02-01;GO;d41172e1-44e1-410b-ad9b-a39059c5f5d2;b27beba7-ca02-4041-a9e0-1793bcd141fe;f9364704-e94b-4713-b2cb-2006c8310a01
2016-08-15;2015-02-01;AC;3386052b-c620-4cef-a856-75e245ddae67;b27beba7-ca02-4041-a9e0-1793bcd141fe;518eb5e8-c9ab-4620-b1df-cd586c0f042b
;2015-02-01;RR;8fd74653-fefb-43d2-b8f1-62244738a39e;b27beba7-ca02-4041-a9e0-1793bcd141fe;c0d45c01-d292-4f92-865f-936c9c33fd94
;2015-02-01;RJ;a5648343-1a60-4282-8d6c-e579b121c77a;b27beba7-ca02-4041-a9e0-1793bcd141fe;53c700da-1fb1-460b-96a0-186b110d8fed
;2015-02-01;ES;b00dfba4-7a85-4913-982a-93934b985012;b27beba7-ca02-4041-a9e0-1793bcd141fe;813eefbc-57a1-42c4-8b56-3bdc1266aa7c
2015-02-09;2015-02-01;RJ;e5c2e6a8-f90b-41d8-ac0e-039fa75c0cff;b27beba7-ca02-4041-a9e0-1793bcd141fe;ab0939bd-e742-448d-90bb-29f9baec6523
;2015-02-01;RS;9abc93c7-9a14-46c9-8091-815021bf42f7;b27beba7-ca02-4041-a9e0-1793bcd141fe;7bcddcef-b7db-48c7-bd4e-5d5243d06751
;2015-02-01;PR;236eae5f-707b-4670-95d2-0feaf4299092;b27beba7-ca02-4041-a9e0-1793bcd141fe;88a34152-a376-44e5-9725-948d8784949e
2016-10-03;2015-02-01;SP;e8c892f2-f2da-4c4d-a897-d7be5051aa02;b27beba7-ca02-4041-a9e0-1793bcd141fe;e0ba122e-ec11-4935-9526-bc0165b0d6d6
2016-05-12;2015-02-01;MA;afc0c78d-ac50-4630-993d-57c01c5c9b59;b27beba7-ca02-4041-a9e0-1793bcd141fe;24ed211f-1a5c-46f5-bf79-3828e3c0de89
;2015-02-01;PR;2693b112-3f84-48af-90ca-28cb87c4630c;b27beba7-ca02-4041-a9e0-1793bcd141fe;03c315fc-cfc0-48b0-8443-975ff25e23cd
;2015-02-01;GO;3063fa14-ef85-4d4f-adea-e3405adb0353;b27beba7-ca02-4041-a9e0-1793bcd141fe;af7543f4-b1c5-43f1-8e1e-83efb55540d4
;2015-02-01;PR;019bceef-198c-4523-9df7-27c6f799e2f3;b27beba7-ca02-4041-a9e0-1793bcd141fe;595c48a7-f3f9-4876-8fe9-bb4c43109da5
2016-03-15;2015-02-01;PR;242d389b-0cdc-4cad-a82c-38894ad7f4ed;b27beba7-ca02-4041-a9e0-1793bcd141fe;463a944a-612f-420b-b7c5-4b2cb6a64b9b
;2015-02-01;MG;98c0948c-3ceb-43ef-aae1-e85ace650492;b27beba7-ca02-4041-a9e0-1793bcd141fe;1e6c6c0b-2f36-496e-a19b-fc81f1578378
;2015-02-01;BA;72830c60-2671-4d34-bf7f-ef5a2343fbd1;b27beba7-ca02-4041-a9e0-1793bcd141fe;989a03b5-0b3b-4868-97f0-97466635ac2a
2015-02-04;2015-02-01;PE;c71c538b-7d36-49a5-993f-87ba8ab7f21b;b27beba7-ca02-4041-a9e0-1793bcd141fe;2677a919-de86-4de9-88d0-4342471ca5f3
;2015-02-01;RJ;6f66ea40-59e1-4189-80fc-23d173cf7ed8;b27beba7-ca02-4041-a9e0-1793bcd141fe;44cfefa2-b676-416d-bb6a-c51803612b0a
;2015-02-01;MA;860c9149-e090-4e92-bb09-ad0d8764fcbc;b27beba7-ca02-4041-a9e0-1793bcd141fe;2eafe301-dd55-40f0-9658-26e7b230fa6b
;2015-02-01;DF;fcb6b195-b559-4e4d-a675-cacd00bd1c93;b27beba7-ca02-4041-a9e0-1793bcd141fe;dc8d7fd4-b4ef-4709-a1d2-e37f5f0e1645
;2015-02-01;AL;7c1995e4-4dec-48be-b1c8-0f224542ba7b;b27beba7-ca02-4041-a9e0-1793bcd141fe;1b619344-dace-4c08-b0e1-15596d59d41b
;2015-02-01;PB;51a293ac-3ee1-4a95-ba1f-894abe55adbb;b27beba7-ca02-4041-a9e0-1793bcd141fe;13bb9e54-0d28-493a-8828-06990c74f486
;2015-02-01;CE;af5dd8dd-af83-48f1-8682-d457bfcfd0ca;b27beba7-ca02-4041-a9e0-1793bcd141fe;45dfc3ec-37b6-4c2e-89be-1b8cc616a2d1
;2015-02-01;SC;64fb2464-058e-43fa-a58c-627aedaa215b;b27beba7-ca02-4041-a9e0-1793bcd141fe;4dd687be-8824-4dfb-b679-c49deb9bd5b8
