cam:finishDate;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;slp:resource_uri
;PE;2015-02-01;fe1660c8-1e36-4a4d-a8cc-33b7b0922eb1;c4734d30-72b9-457a-9fec-17662fb2daf0;e6fb708a-cab4-4afd-b332-8540b35f947d
;RN;2015-02-01;ab9bb9f5-a5b7-4a7d-ad97-9ff6d82277e3;505947cc-04cb-4e1a-8216-0e633ebe3062;ab8dfc6c-61f1-4919-b7ac-f5a3b1318016
;PB;2015-02-01;da0772a1-8e59-4d0e-ac25-846285ee4ff0;d61117c0-2d42-40df-ab63-34a614fe3db9;f882b618-7529-49a6-abfc-1ac0ebf50c7d
2015-09-08;MA;2015-02-01;9baea0e6-e9df-4fb6-a04b-3ece7f0040b9;0a77a7dc-df1e-4ef2-9224-6e975bb66b3d;7b987994-b412-4476-a7f5-47dbc4433c3e
2017-01-01;RJ;2015-02-01;514108aa-be67-4968-aab0-c6ebcc3db613;fbebea9c-46b1-4692-a146-e92e65661da3;611b798c-879b-4c1f-804e-5aa6c200a69d
;PB;2015-02-01;2b57a97d-5db3-405c-bedd-433aa3fb1c5b;880506ca-9aff-4f6e-9394-d5b5d7e47afb;107635e0-f958-488c-915a-764f02732eaf
;CE;2015-02-01;23b18b97-d11c-46ed-8169-896c71ff7030;c925396c-98bf-4e07-9407-bd8fe0ef9bac;d972aeca-a74b-43bc-952e-35ddab915151
;SP;2015-02-01;e8fccb5e-7e21-455e-a6a2-b400cb91604e;0deeddb0-9b20-402e-aed5-a92aca18a848;85fbcffe-6eea-4119-bda4-db2095e58826
;AP;2015-02-01;4070654b-a5b5-4dc1-9848-08f87f5f9893;c7a604ef-a56a-454a-b45d-c5978b54c43c;ae58a305-d8d2-47e1-a16c-d41efcef0670
;MA;2015-02-01;c339b7a0-1f09-49eb-b2da-7d536a0baa2f;0bc985f4-cf49-4abb-9748-15d98e4d0e8d;fc46209e-afd7-42b4-9f32-cd24436ff141
;TO;2015-02-01;cdc486fd-fa90-4ce2-9ac3-1c9e8547e98a;2a2cfea6-6599-457a-89a6-047e0099ce06;c9fdbcd4-361f-4dfa-bb0e-50f6ebd95e7d
;SP;2015-02-01;e3fa9616-712b-43c8-9056-044053fcd89f;f4145ca7-9fae-459c-87f6-646f680d9b60;0d663341-9209-4619-8c25-f0be0a98d6b2
;MG;2015-02-01;734dbcd1-eb66-4b24-ac70-c911da6a8ac3;39e4de6c-f20b-4979-bfbf-127c8fb1b39d;bd7db5ce-eeb9-4769-afe2-7e76c87e418f
;SP;2015-02-01;08188559-f368-4b5d-b2e1-c9fa4b67b3d5;e16b6f59-18fc-4bca-ba86-c9cb8c0dc791;e66e3d8a-c0b7-4123-bd28-84ea7f5666ac
;SP;2015-02-01;72545472-9772-4d2a-b11e-4209daadcb53;3b275312-eca9-434f-adb9-b8279c93034a;322f7ffc-2823-46c1-99bb-d2b60428780b
2017-07-06;MT;2015-02-01;927e79df-3c9a-4230-bdbb-cabfa2838295;47c55d2b-249b-488d-a8bb-562793b279dd;7bbb7351-1a46-4570-b838-49108ec6cc04
;SP;2015-02-01;c4e54cae-0a61-41f7-aead-7e01a510e443;3194e16c-4bf0-4040-85f5-efad67fc13a7;8569def2-bb6d-43d6-a790-68c6ab52f114
;SC;2015-02-01;6a71baef-158f-4269-b65d-b986bcec389e;e4136ab5-c499-4701-ad24-7c6682692042;43abe000-c042-4136-ad18-1bc9a9c6880a
2016-08-01;PB;2015-02-01;bd150be5-b552-4712-b1f5-10dfba06d9d2;6572c7f2-caa2-46bf-b3f7-c4ffe3457896;4d9aa5a6-92db-4559-9239-a0c024fca691
;BA;2015-02-01;3a1fcdeb-6f59-4b90-a8f4-5bdf382f2720;ec1ebb47-3583-49c9-9c04-ed0414981731;4cbad283-ea33-4e40-9557-66a07239ea11
;PR;2015-02-01;d463e31b-e886-4ebf-85db-fe6e4590d4e7;81726df2-636e-451f-97e8-d352f194d4fa;69890e70-cafc-46ea-94b3-1b344cce1496
;MG;2015-02-01;0698edbc-7afe-458c-9a02-538d7f357b13;a6314c8a-bb7e-40ef-971f-89ee189ec757;27b701bb-7336-4f83-8b9b-163fddb2c27a
;BA;2015-02-01;f560b04f-8439-4334-ae6c-f2686e605890;30be8038-f0cf-4aec-afb2-1e1314fd1eba;a688b438-bb86-4562-87bb-693f1a15288e
;MG;2015-02-01;0b1d69e5-2912-4b72-a3e3-65c1d7c2d55b;0ed4a330-0d0c-45c6-8858-86546e1a2a69;2ed9f73e-494e-4381-a3b2-a57824349b49
;SP;2015-02-01;86d9e3eb-d347-4b47-823e-8bebaf710e41;5c9fe472-9f67-4528-a093-101937b348ef;bea48802-a542-4cf9-bd36-69efa258dcd2
;PE;2015-02-01;55fde404-e6b1-4455-817e-0271e56dfa88;cc07b0de-e1dd-4685-b2dc-8af81c49f1e9;98d032ed-a903-4f93-8615-b5568da1b53b
2016-07-12;SE;2015-02-01;17c7295e-824b-496f-b235-9c26a841aeda;c70e0fea-1cad-4a0d-a9d4-de55fc7eb2a4;697b54de-4693-4e05-a895-cb07175bd0ef
;PR;2015-02-01;3537b64c-c2ce-4abe-9a58-4a9dd967b0a3;88166d85-3b0f-494f-8d2e-738ae9d82ceb;910de51f-fab2-4b45-8fa6-f6fd194c5a89
;MG;2015-02-01;d2fbf58a-385d-498f-a17a-698a9b9afaed;229d88c9-fa88-4f89-b3e6-8d0a44745f20;49a0cd63-92b6-4e49-8b6c-2b6f10352abd
;MG;2015-02-01;79d1dc88-b446-48fa-bb5b-3368e237d25f;99391c20-f1f1-48e2-869b-7f4b16f0de9d;381f0581-8285-4f8d-88bc-327b4265b5f5
2017-01-12;BA;2015-02-01;a5254823-ec75-4d71-8c76-0cadd69fa2ca;c915ada3-2e1f-4efb-ae17-d6733cc0cf85;902575b8-3388-446a-aeac-2c6f396c9226
;PA;2015-02-01;bda06859-ee9d-4566-862d-4edf308703f6;5f5da2b0-0629-47a6-a1a0-2c547e99f946;1193abf6-c854-4998-b9b9-7befed3c0a68
;RJ;2015-02-01;d87242cb-8084-42aa-88a0-0b600c41bc3c;ba01ee25-3c2b-4acf-ba78-311aa9f3b2ce;646b8b12-eabc-40a4-bdd8-721c5e2d4534
;SP;2015-02-01;c7b0f208-8316-4721-9b21-7ed1dd4d6cfe;54fdfa1e-24d1-49c8-b0fd-7f6c179f850b;c3795af4-455a-42bd-8c65-c6c7fdc6e36b
;PE;2015-02-01;b6c1f0a1-73db-4745-8204-9ff652978ddb;967a7b0c-fbf1-4b37-86e7-4435e8972379;e0590164-ed3f-4ae9-9c0e-5e8a981b5813
;RJ;2015-02-01;aef3c6ae-a8d9-4ab3-857b-6cee44563d5f;408cd500-ed0a-491f-b226-f27ac38f28f2;2184caf4-15a8-4827-bb58-3bb71fdb7b10
;AM;2015-02-01;de5d5e17-aacc-4e3c-a192-b3b005a7000c;33375d30-8e44-46ad-b985-8ab4447989d6;12309dbf-8b60-4851-a7b7-0eccb2ecc9bb
2015-02-04;GO;2015-02-01;d41172e1-44e1-410b-ad9b-a39059c5f5d2;ac874341-f01b-416c-ae04-104aaa5fd4a2;f9364704-e94b-4713-b2cb-2006c8310a01
2016-08-15;AC;2015-02-01;3386052b-c620-4cef-a856-75e245ddae67;60ef3a82-bdaf-4158-8bcc-795ac28028a0;518eb5e8-c9ab-4620-b1df-cd586c0f042b
;RR;2015-02-01;8fd74653-fefb-43d2-b8f1-62244738a39e;1bcae7b3-ff5a-471b-93d3-b56db6a0b82f;c0d45c01-d292-4f92-865f-936c9c33fd94
;RJ;2015-02-01;a5648343-1a60-4282-8d6c-e579b121c77a;fea69714-97bc-431f-840c-d613ea18ce84;53c700da-1fb1-460b-96a0-186b110d8fed
;ES;2015-02-01;b00dfba4-7a85-4913-982a-93934b985012;ce45be23-2515-441e-b844-0d8430a7b83d;813eefbc-57a1-42c4-8b56-3bdc1266aa7c
2015-02-09;RJ;2015-02-01;e5c2e6a8-f90b-41d8-ac0e-039fa75c0cff;d76773cf-8952-4332-a81c-94509dc553c9;ab0939bd-e742-448d-90bb-29f9baec6523
;RS;2015-02-01;9abc93c7-9a14-46c9-8091-815021bf42f7;dcefb3f9-9c6f-41b6-9778-54151992f681;7bcddcef-b7db-48c7-bd4e-5d5243d06751
;PR;2015-02-01;236eae5f-707b-4670-95d2-0feaf4299092;60fa3259-92f4-441e-b7c0-4e551fc9e017;88a34152-a376-44e5-9725-948d8784949e
2016-10-03;SP;2015-02-01;e8c892f2-f2da-4c4d-a897-d7be5051aa02;bd800253-0d52-495b-a4e1-f133f7efacfc;e0ba122e-ec11-4935-9526-bc0165b0d6d6
2016-05-12;MA;2015-02-01;afc0c78d-ac50-4630-993d-57c01c5c9b59;1f1d97a0-a573-4cb1-a916-47bbc9c23af1;24ed211f-1a5c-46f5-bf79-3828e3c0de89
;PR;2015-02-01;2693b112-3f84-48af-90ca-28cb87c4630c;b40f21d4-6f77-4d51-b1df-42177190303c;03c315fc-cfc0-48b0-8443-975ff25e23cd
;GO;2015-02-01;3063fa14-ef85-4d4f-adea-e3405adb0353;7dfa7d07-394f-49c4-a8f9-7b3b840f05c4;af7543f4-b1c5-43f1-8e1e-83efb55540d4
