org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2016-02-03;2011-01-27;PMDB;6f0bf680-661f-4444-8b5b-e6ec4f4bf4a8
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2011-01-26;2001-06-22;PPS;27175c1f-e01b-4d3e-b744-1297e2da5dc7
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2001-06-21;1999-02-01;PSDB;1d50f40e-9345-4cc9-b213-6fce5b2ee791
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PT;99f4e561-dd06-4305-b9a0-97eb4a008f9d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1995-02-01;PMDB;546e1a15-b836-41a8-81ba-f2e24aafcb3e
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-09-29;REDE;45982fdc-e92c-4cf3-9467-3c9c6fe41940
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2015-09-28;2011-01-28;PSOL;48a546df-abaf-47af-b45d-eaf068d32b79
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-11-11;DEM;c1ea1835-a8de-49e7-85ea-7bf2cbdb6945
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2015-11-10;2015-02-01;PTB;50898539-c5cc-47d0-9798-5a171bc5717d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PP;5780421e-bd7c-4be8-89ae-ac38fc25f54a
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2016-02-17;2011-02-01;PDT;1ea189f3-b343-4dcd-94c7-53b790cde897
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PP;f99c3b5d-d996-460c-9438-d9d48bff42c1
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-02-01;PSDB;1df0a6fc-af5b-4e89-a927-f746c89287e0
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2018-02-26;PRB;9bfcf59d-b178-4c24-b376-c80bd50b2e41
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2018-02-25;2011-02-03;PSC;edc09929-5e0b-46e5-ad99-98fdeb470940
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-01-27;PDT;5b201a70-936b-4982-8795-c3fc6a84ea02
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2018-04-04;PSD;528dde19-b786-4a73-ade5-48bfc9fa9593
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2018-04-03;2011-02-03;PMDB;077e7b76-16d6-4cb4-9cc9-c64f4df9c2b5
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1991-01-31;1990-03-28;PRN;7ba483b5-ed91-4ff5-9dac-b4f0e6cdbb4d
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1990-03-27;1987-02-01;PMDB;c9d50b6c-5f69-42b8-8498-e17e82b7fd30
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PT;cd33b9b1-ff91-4608-b2ac-f350dbed4c9c
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-02-03;PV;ba616365-9821-4fd3-9a5c-f5d890597f15
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;1999-02-01;PT;e9a3f28a-5e5a-4ed0-a75a-429d429c71e4
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-03-14;PSDB;084458ef-bb6b-4597-ad17-292db82a8014
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2007-01-31;2005-06-22;PSDB;08621d6c-8035-45bb-a980-dd9c3cae5185
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2005-06-15;2003-02-01;PFL;1a178d97-c6bb-4f76-ae0a-783cb4c1e777
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-02-01;PDT;d8f4d0f8-c3ca-4caa-985e-cd5c147d34ae
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2017-12-18;PRTB;9ef7cc8d-67de-4334-b567-c37df22a4b25
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2017-12-17;2010-02-03;PMDB;a3e5ade9-4f6b-4f9f-b5b2-cdf1602ffa13
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-02-01;PSD;c6247093-e840-404f-b7b5-0ede6257fee7
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2015-02-01;PSD;e88a54fb-eb4d-4c05-a566-be5bfba75f2f
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2014-07-16;PP;face49b9-6f84-4465-9f3d-6b0705274b83
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1999-01-31;1997-08-20;PTB;f97d5d67-4af3-45c4-99ba-f8e64ba78911
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;1997-08-19;1991-02-01;PFL;209e02b3-b261-4d71-bd60-31ad7a7aa986
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2007-02-01;PR;a885bb2b-9c10-4418-98b4-f688d238671e
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2006-12-19;2003-02-01;PL;2aa3e16e-1664-465d-91e7-7d19197e6310
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;2001-03-21;1999-02-01;PTB;e5a31e58-b3a5-4c44-b91d-98ef4b4ebf26
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2011-01-31;PSOL;b7b10cfd-04de-4897-b9da-bd091500332e
65186822-1203-434c-b679-188b99f2decb;6a688541-b16a-45ca-8aa9-fa700373279f;;2006-04-04;PRB;86510805-cc8e-4347-aebd-9d665e9dc6f5
