org:member;org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
85e8b745-786b-4782-a8a1-e3b3164a3f22;6f0edeac-6dcc-461b-95a3-122447dbcf51;;2003-10-14;PMDB;069f4103-268a-48b3-9c09-18461290e8a6
85e8b745-786b-4782-a8a1-e3b3164a3f22;f8f7d15e-4b91-4301-a279-2a991f74e889;2003-10-13;2001-03-08;PSDB;52988fea-a1aa-4bbc-bd38-b5583cae5a9e
85e8b745-786b-4782-a8a1-e3b3164a3f22;3bf4eb6a-0665-4acd-b699-482df22795c5;;2017-07-04;PODE;05c3ada8-4ca5-4189-a512-c96226e78274
85e8b745-786b-4782-a8a1-e3b3164a3f22;13c2f931-7fe1-4ba7-8cfa-7b0b33e7cb59;2017-07-03;2013-10-02;PSB;80da0b49-8745-46fe-a978-2761966b6828
85e8b745-786b-4782-a8a1-e3b3164a3f22;b6be3885-63a3-4b3a-a7f5-755dda22a414;2013-08-19;2011-02-01;PSB;ea7c0072-5a77-4641-ba5e-3d4b576d19f9
85e8b745-786b-4782-a8a1-e3b3164a3f22;80ffdab9-5017-41da-a6d0-14e492747e37;;2011-02-03;PMDB;af750312-29a3-44db-9945-245ae7cfe7fa
85e8b745-786b-4782-a8a1-e3b3164a3f22;fd367347-6dd6-4edb-a1cf-e6b060a377f3;;2015-02-01;PMDB;510d4010-185e-4a3c-a658-5f7ee844389e
85e8b745-786b-4782-a8a1-e3b3164a3f22;eade5b15-0fc4-4996-a6f5-f98e259c7a69;;2015-02-01;PV;6cc37fe7-e8cf-4c91-8936-7b6516f1a713
85e8b745-786b-4782-a8a1-e3b3164a3f22;174ae569-e3ec-4352-ace5-4f8a3a542088;;2003-05-14;PMDB;c142c08c-6b42-4b87-81b2-efd2eba7c3b8
85e8b745-786b-4782-a8a1-e3b3164a3f22;b1183b0d-6dcb-4bc7-8054-23e9169ce89b;2003-05-13;1999-01-28;PSDB;3f2639db-2f3b-46b7-99f4-91ac9628b64f
85e8b745-786b-4782-a8a1-e3b3164a3f22;ebd468ae-cf26-4d27-bc82-05c410201a9f;1999-01-27;1995-02-16;PFL;a98d8d54-457b-4160-b3f4-8682f4c95a44
85e8b745-786b-4782-a8a1-e3b3164a3f22;af27f5da-6cc4-4ab0-a9a6-45112abd329a;1995-02-15;1995-02-01;PPR;4ebae300-626c-48f8-9ff2-4748ca426ce0
85e8b745-786b-4782-a8a1-e3b3164a3f22;53edac47-bbf3-47ff-a3b9-071f821f40ff;;2007-04-24;DEM;f4cd08e1-4f7a-4a8c-89aa-07bc0e05fcdb
85e8b745-786b-4782-a8a1-e3b3164a3f22;cc3553b6-cde4-47bb-9f11-747cb5558483;2007-04-23;1999-02-01;PFL;9074b941-d262-480b-a229-6708ac4176fd
85e8b745-786b-4782-a8a1-e3b3164a3f22;0e7df44c-ca06-46e4-a2d7-448c2ec43c0e;;2017-10-04;PSDB;9a4bc8a0-979b-4dd6-ad8c-7a8a1212abae
85e8b745-786b-4782-a8a1-e3b3164a3f22;72f071a6-1c0e-4269-a41f-737e7a1776fc;2017-09-28;2015-02-01;PSB;b63365cb-ca4c-457a-a6ea-1046aa4d9504
85e8b745-786b-4782-a8a1-e3b3164a3f22;7ff6eae4-7fe8-4bf7-a3a9-802754d21f9d;2011-01-31;1999-02-01;PSDB;579b52f5-dfe1-4cbc-a227-aa0aecc22522
85e8b745-786b-4782-a8a1-e3b3164a3f22;3078673f-6cdf-4887-bded-81f897c9a6b9;;2011-02-03;PRB;c7c9eff4-a8f4-45fb-91f4-6ea1cbe7112c
85e8b745-786b-4782-a8a1-e3b3164a3f22;a61156d0-f32e-4160-9242-b47c04f81c3a;;2007-02-01;PSB;2f3ad533-feed-4803-82a1-3f6d06fdced9
85e8b745-786b-4782-a8a1-e3b3164a3f22;50f2c611-0e0d-4c03-8cb1-0c2972541acf;;2011-02-03;PP;484c708d-9b8c-4c80-b706-c76d0e8dd9cf
85e8b745-786b-4782-a8a1-e3b3164a3f22;16b6ae46-4dc3-46e5-82a2-9dfd5c37c9e7;;1995-02-01;PMDB;46adb9a9-638b-4c2d-881a-85eafbc08882
85e8b745-786b-4782-a8a1-e3b3164a3f22;02a3d7cf-6d39-4a22-befd-2bcf859525cf;;2015-11-11;DEM;443f4a6d-8e7f-4ec6-8e20-99ec6fb4cb20
85e8b745-786b-4782-a8a1-e3b3164a3f22;b0d98d9d-111b-41c9-b9f2-a48132d50da5;2015-11-10;2015-02-01;PTB;fe64a4a4-7ead-411b-a99f-18900ac0ca16
85e8b745-786b-4782-a8a1-e3b3164a3f22;744ab253-a643-493d-a6cc-29990350dd7e;;2016-03-01;PSDB;b6dd9a03-f920-48d0-8b0e-237dc560f080
85e8b745-786b-4782-a8a1-e3b3164a3f22;1b3333f6-98ac-4fc4-9ac3-17fa038c657a;2016-02-03;2011-01-27;PMDB;4890702b-309b-495d-ab00-2b540af1ef41
85e8b745-786b-4782-a8a1-e3b3164a3f22;f67a7bd9-55e5-45d3-b17c-0abfcc990ed1;2011-01-26;2001-06-22;PPS;706309f7-f792-4570-a158-271963771204
85e8b745-786b-4782-a8a1-e3b3164a3f22;14cb4d32-8018-489b-a3e6-7f400f817424;2001-06-21;1999-02-01;PSDB;0d0413d8-3105-4e4b-9c92-504ca67d4b83
85e8b745-786b-4782-a8a1-e3b3164a3f22;7e21d952-3045-45db-a41a-3341de48e6d4;;1995-02-01;PMDB;69d8e2a5-af5a-473c-a3bc-6c06a6b41994
85e8b745-786b-4782-a8a1-e3b3164a3f22;aae3d6ae-a768-4e09-b904-d10c6fbc3433;2016-02-17;2011-02-01;PDT;eb41d40a-abe0-41e0-9c9b-0cdf06c52956
85e8b745-786b-4782-a8a1-e3b3164a3f22;d1606d2b-43da-4e0f-9353-261c37f8adc8;;2011-02-03;PP;313b216b-e12d-42c5-bf26-7e8238cd3d97
85e8b745-786b-4782-a8a1-e3b3164a3f22;e3a495ab-0aca-453b-8b0f-357ccf86dc6b;;2011-02-03;PMDB;15582b67-3e45-4f40-98d6-14c106c32020
85e8b745-786b-4782-a8a1-e3b3164a3f22;5d02c408-3981-405d-8136-ea4128805c1a;1991-01-31;1990-03-28;PRN;84d2e88e-e183-4526-a0aa-25c0183a2afb
85e8b745-786b-4782-a8a1-e3b3164a3f22;337b21c1-5fdf-4441-9cd8-3a672029a231;1990-03-27;1987-02-01;PMDB;bb4a6850-19a5-4784-b985-efc41146bc54
85e8b745-786b-4782-a8a1-e3b3164a3f22;79aee4d3-66b7-414a-8f34-4b081bb34c5a;;2011-02-03;PT;b4382f2d-e979-4161-81d3-6673b8d460bd
85e8b745-786b-4782-a8a1-e3b3164a3f22;e5a7d6b7-f64a-4afd-a94d-94e3fc1f933c;;2015-09-29;REDE;f21f4e6c-0f79-4b8f-81f9-358455fd57df
85e8b745-786b-4782-a8a1-e3b3164a3f22;88a2c216-2813-49e5-b28f-c47afb81f4b6;2015-09-28;2011-01-28;PSOL;e187556f-18db-426b-900e-22a760d01533
85e8b745-786b-4782-a8a1-e3b3164a3f22;76f8e06a-42ed-4b65-8465-f5a3bf0ca74e;;2007-02-01;PSDB;eb570a65-4dca-4191-ab42-25e31e67da3c
85e8b745-786b-4782-a8a1-e3b3164a3f22;28871f08-98fd-49b1-b829-cb477e9049f4;;2011-01-27;PDT;889270ea-3757-4086-9f3b-cf21a17dfe71
85e8b745-786b-4782-a8a1-e3b3164a3f22;4240f426-8e91-44b0-a4d8-e28c9c202bd7;;2011-02-03;PT;d8f5e234-e255-4386-87a6-31d24802939d
85e8b745-786b-4782-a8a1-e3b3164a3f22;cb10ce14-ce97-4800-95b2-5dc8b792b038;;2011-02-03;PV;a2bcdcf0-773b-4c11-a4a4-d51e05fa1290
85e8b745-786b-4782-a8a1-e3b3164a3f22;f5281d94-35a5-44ad-9a9a-49889ed825e8;;2015-02-01;PPS;6abbea39-0dd3-4342-ba73-81a7fb89ce9f
85e8b745-786b-4782-a8a1-e3b3164a3f22;d04192ea-8b5b-4cf5-b13e-a6cd1812f600;;2018-02-26;PRB;ab8edd67-3e4e-4574-ba3b-1387683e6629
85e8b745-786b-4782-a8a1-e3b3164a3f22;1d3cce65-1209-45ff-80ee-36cb63b40351;2018-02-25;2011-02-03;PSC;8fde1d17-0e36-4226-b83d-cdb7ff20a945
85e8b745-786b-4782-a8a1-e3b3164a3f22;d66bbe03-45b8-4edc-8799-e7945dd02962;;1999-02-01;PT;b93effd9-3afe-4d95-a300-d511c05c937e
85e8b745-786b-4782-a8a1-e3b3164a3f22;10bc445d-7ed7-4166-a2b7-7235c8d88b1f;;2011-02-03;PT;a30d8c9c-6c83-4d63-9987-2e67c9b5bb9d
85e8b745-786b-4782-a8a1-e3b3164a3f22;bb7cbaf3-5548-4dd8-b2e0-4ae38f331094;2006-12-19;1999-10-07;PL;be43eb81-7288-4897-83b8-42bd50633813
85e8b745-786b-4782-a8a1-e3b3164a3f22;82795911-f125-4e40-bf20-41e475bcb2c4;1999-10-06;1999-02-01;PTB;aee07899-2ff9-401c-bb4a-a53d2b5800aa
85e8b745-786b-4782-a8a1-e3b3164a3f22;9670f2d1-689c-497e-8f30-d44f59b10455;;1999-02-01;PT;8abad7f0-4901-4435-96c4-7589c792b155
85e8b745-786b-4782-a8a1-e3b3164a3f22;7606d5a0-aae3-4582-8e48-f1e79d06c96b;;2011-02-03;PV;43bfd109-6dad-427c-9ae1-0cfd52a1ac12
85e8b745-786b-4782-a8a1-e3b3164a3f22;ddce3625-46ff-4b83-9823-5d6e4f89fdac;;2015-02-01;PDT;456d1151-a787-43ce-9f14-78e3e9738a06
85e8b745-786b-4782-a8a1-e3b3164a3f22;e9c7358e-ceb3-4474-a820-ad954c1de0e8;;2011-02-03;PSC;26272763-90f9-43ee-a74a-34c6c9138aa7
85e8b745-786b-4782-a8a1-e3b3164a3f22;54df2ce3-d2b9-435f-8bc6-456cfc3513cf;2007-01-31;2005-02-03;PMDB;d9f79d38-0084-423f-a897-eed16babfaf7
85e8b745-786b-4782-a8a1-e3b3164a3f22;495a810e-3f5d-45af-8619-7f1159e3fbee;2005-02-02;2003-09-16;PSC;4fdfea32-40bd-4b40-bd2b-a81b06c0f193
85e8b745-786b-4782-a8a1-e3b3164a3f22;ef2b35d5-f248-4ad7-96c7-aa8af0d78272;2003-04-02;1999-02-01;PPB;1b60ef17-f046-45c9-b98c-cd9d28a3d2ed
85e8b745-786b-4782-a8a1-e3b3164a3f22;be0faffd-f272-454a-b574-663259f3b6b8;;2007-03-14;PSDB;65b4abd3-d833-4e4b-8a9e-baf996222a1e
85e8b745-786b-4782-a8a1-e3b3164a3f22;838740ec-764c-41ca-a6d6-f8e3d517dc9f;2007-01-31;2005-06-22;PSDB;336b58eb-2bb7-433a-b492-b5a4afbc5fb1
85e8b745-786b-4782-a8a1-e3b3164a3f22;54b11977-13e7-45c5-b0ba-c7442d77e339;2005-06-15;2003-02-01;PFL;b009eb39-247a-4c26-b3d0-62b87c19901d
85e8b745-786b-4782-a8a1-e3b3164a3f22;7f84aa99-357f-4a00-bded-439650e611e7;;2011-02-03;PT;44f97dc6-05c4-405d-b3c2-d23576a67da1
85e8b745-786b-4782-a8a1-e3b3164a3f22;926bd3d5-78b4-4375-811b-0a67e15c4bc5;;2015-02-01;PDT;1f26891f-0cce-46de-ae43-637b095bdbf3
85e8b745-786b-4782-a8a1-e3b3164a3f22;9a2c7cc2-6a6e-4d42-b57c-480ff029d6bf;;2017-12-18;PRTB;689b7135-57a3-41ec-adff-4895b6420e16
85e8b745-786b-4782-a8a1-e3b3164a3f22;a1bf039b-25cd-45b2-88f5-9ee4ef46e104;2017-12-17;2010-02-03;PMDB;50fe5fb0-0eb4-4cf8-b209-973efd07005b
85e8b745-786b-4782-a8a1-e3b3164a3f22;5603671b-a681-4df7-b7bf-a12e53bbdcb6;;2011-02-03;PR;9441c811-6fa9-4b5a-8f02-7512650574c3
85e8b745-786b-4782-a8a1-e3b3164a3f22;416b38b2-5561-4cd7-a5e7-4474e3d5b9bc;;2015-02-01;PSD;0a2cd90b-da02-4e40-aae0-4c2ca87ab808
85e8b745-786b-4782-a8a1-e3b3164a3f22;4fb24190-e07f-45f5-b5d4-745eab92189d;;1998-11-13;PT;436946f3-c8f7-48a5-9c9c-e0cfa82e81d1
85e8b745-786b-4782-a8a1-e3b3164a3f22;4577d8fa-ed33-4715-b034-0c4c7cee1732;;2014-07-16;PP;0e481d66-7033-4d3a-8bc2-7be33be28e99
85e8b745-786b-4782-a8a1-e3b3164a3f22;6fd6ddfb-53d7-4c2e-8bf0-5b591b1bffaa;1999-01-31;1997-08-20;PTB;c4493850-a7d0-4802-a987-f6cb8deb83a9
85e8b745-786b-4782-a8a1-e3b3164a3f22;10d862f1-a78a-4053-bc53-116d40715319;1997-08-19;1991-02-01;PFL;930f7bbb-5366-4cab-b5d4-196d537e9d6f
85e8b745-786b-4782-a8a1-e3b3164a3f22;02d036a8-567e-4bc3-80b9-f5cd1b680f38;;2015-02-01;PSD;09a1023b-dc74-45a5-a121-f3925121537e
85e8b745-786b-4782-a8a1-e3b3164a3f22;953918e9-92d7-44df-aaaf-e3bfa7c8ee4b;;2011-02-01;PMDB;2d830190-94cd-4a4f-b1dc-43e75166a7d9
85e8b745-786b-4782-a8a1-e3b3164a3f22;f20e70c2-e59b-4288-ae0b-c4a31af55c1b;;2011-02-03;PDT;741d77f0-7403-45d0-b1df-510ce51f6b24
