cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;slp:resource_uri
178834;ADALBERTO SOUZA GALVÃO;BEBETO GALVÃO;e82f4f7b33df6acd462238263fa77842
141516;PAULO ABI-ACKEL;PAULO ABI-ACKEL;657abb02ed52ac2b3c88271820f8c39c
141516;PAULO ABI-ACKEL;PAULO ABI-ACKEL;657abb02ed52ac2b3c88271820f8c39c
141516;PAULO ABI-ACKEL;PAULO ABI-ACKEL;657abb02ed52ac2b3c88271820f8c39c
129037;GABRIEL GUIMARÃES DE ANDRADE;GABRIEL GUIMARÃES;0ef078f0b92d1c9e7d08ca8e35ce892f
129037;GABRIEL GUIMARÃES DE ANDRADE;GABRIEL GUIMARÃES;0ef078f0b92d1c9e7d08ca8e35ce892f
160553;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;ANTONIO BRITO;d734ba0e976ad4ae7ea818e58b9a0d7b
160553;ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO;ANTONIO BRITO;d734ba0e976ad4ae7ea818e58b9a0d7b
74749;MAURO RIBEIRO LOPES;MAURO LOPES;1c331b867a18e1ba7b5305e771052cb4
74749;MAURO RIBEIRO LOPES;MAURO LOPES;1c331b867a18e1ba7b5305e771052cb4
74749;MAURO RIBEIRO LOPES;MAURO LOPES;1c331b867a18e1ba7b5305e771052cb4
74749;MAURO RIBEIRO LOPES;MAURO LOPES;1c331b867a18e1ba7b5305e771052cb4
178975;LUIZ FELIPE BALEIA TENUTO ROSSI;BALEIA ROSSI;d4d31f7fb4c5e096bd6724ce681a14c8
133439;ANDRÉ PEIXOTO FIGUEIREDO LIMA;ANDRÉ FIGUEIREDO;bc77111f8fa874d4ce30c88bbf87e5d6
133439;ANDRÉ PEIXOTO FIGUEIREDO LIMA;ANDRÉ FIGUEIREDO;bc77111f8fa874d4ce30c88bbf87e5d6
133439;ANDRÉ PEIXOTO FIGUEIREDO LIMA;ANDRÉ FIGUEIREDO;bc77111f8fa874d4ce30c88bbf87e5d6
178835;AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;0eca4711b6022ab099135f54dfe60590
178835;AFONSO ANTUNES DA MOTTA;AFONSO MOTTA;0eca4711b6022ab099135f54dfe60590
178886;JOSE JUSCELINO DOS SANTOS REZENDE FILHO;JUSCELINO FILHO;d365b0d59e74749f7d0ce2082bd2303c
178991;SERGIO BAVINI;SÉRGIO REIS;c719b326f3e6b8f651b87e8f115c7cab
134812;EDMILSON BRITO RODRIGUES;EDMILSON RODRIGUES;d9bf6fe442672e12269460b42f2cb90b
178867;JOSE MARIA MACEDO JUNIOR;MACEDO;2babd3af181a4ea8c24d50098ce11aa0
160758;DOMINGOS SÁVIO CAMPOS RESENDE;DOMINGOS SÁVIO;26027efd249f7e4d66a7538c07f5be6f
160758;DOMINGOS SÁVIO CAMPOS RESENDE;DOMINGOS SÁVIO;26027efd249f7e4d66a7538c07f5be6f
141529;ROBERTO PEREIRA DE BRITTO;ROBERTO BRITTO;bbe5b72ef1b59ede478dbe63e7f76c19
141529;ROBERTO PEREIRA DE BRITTO;ROBERTO BRITTO;bbe5b72ef1b59ede478dbe63e7f76c19
141529;ROBERTO PEREIRA DE BRITTO;ROBERTO BRITTO;bbe5b72ef1b59ede478dbe63e7f76c19
146788;MARCELO GUILHERME DE ARO FERREIRA;MARCELO ARO;3d8c9996fc2e529c6a2c50d5506a56c7
178920;RICARDO TEOBALDO CAVALCANTI;RICARDO TEOBALDO;571a46da68a2dd4cf64a8f5f761a033d
118594;MARCELO SQUASSONI;MARCELO SQUASSONI;57c41ef21c00df4eafa73e73b5ecfe61
141487;LUIZ FERNANDO RAMOS FARIA;LUIZ FERNANDO FARIA;0477ca3050c822e5b7326166839c6af3
141487;LUIZ FERNANDO RAMOS FARIA;LUIZ FERNANDO FARIA;0477ca3050c822e5b7326166839c6af3
141487;LUIZ FERNANDO RAMOS FARIA;LUIZ FERNANDO FARIA;0477ca3050c822e5b7326166839c6af3
178864;JOSE ADAIL CARNEIRO SILVA;ADAIL CARNEIRO;b70e29bff2f58e1fd864048e4beb5ec1
73674;ROBERTO EGÍDIO BALESTRA;ROBERTO BALESTRA;109a32f34c2d6493352547d01e3ac1d4
73674;ROBERTO EGÍDIO BALESTRA;ROBERTO BALESTRA;109a32f34c2d6493352547d01e3ac1d4
73674;ROBERTO EGÍDIO BALESTRA;ROBERTO BALESTRA;109a32f34c2d6493352547d01e3ac1d4
73674;ROBERTO EGÍDIO BALESTRA;ROBERTO BALESTRA;109a32f34c2d6493352547d01e3ac1d4
141430;FELIPE LEONE BORNIER DE OLIVEIRA;FELIPE BORNIER;3e16bcff990faf918120f2b61bcf105a
141430;FELIPE LEONE BORNIER DE OLIVEIRA;FELIPE BORNIER;3e16bcff990faf918120f2b61bcf105a
141430;FELIPE LEONE BORNIER DE OLIVEIRA;FELIPE BORNIER;3e16bcff990faf918120f2b61bcf105a
178972;ALEX SPINELLI MANENTE;ALEX MANENTE;95790d526cceac0ff7d0947aa429a486
178950;ANTONIO JACOME DE LIMA JUNIOR;ANTÔNIO JÁCOME;894a58f2b700592ab6608ea9a3859ee5
178988;JOAO PAULO TAVARES PAPA;JOÃO PAULO PAPA;dbe3e9b5c862394c98aff5b8dfbbe705
178876;CELIO ANTONIO DA SILVEIRA;CÉLIO SILVEIRA;1a0625c920a8b41b3f0086957bfee416
178897;RODRIGO OTAVIO SOARES PACHECO;RODRIGO PACHECO;4e3a3fb1ca46b5f33c874ca4d073b663
178917;JOAO FERNANDO PONTUAL COUTINHO;JOÃO FERNANDO COUTINHO;bcb329ffc9b79ced7f5075e11bd7bc59
141470;JOSÉ NOBRE GUIMARÃES;JOSÉ GUIMARÃES;a8c19a4ea2b5a75fb4987e9b33a02d92
141470;JOSÉ NOBRE GUIMARÃES;JOSÉ GUIMARÃES;a8c19a4ea2b5a75fb4987e9b33a02d92
141470;JOSÉ NOBRE GUIMARÃES;JOSÉ GUIMARÃES;a8c19a4ea2b5a75fb4987e9b33a02d92
178845;RONALDO AUGUSTO LESSA SANTOS;RONALDO LESSA;4230389313cf51b6d0b65e1641e48bd3
178937;ALTINEU CÔRTES FREITAS COUTINHO;ALTINEU CÔRTES;b9fea208134c8c4e1f82578803bcb948
73424;SIMÃO SESSIM;SIMÃO SESSIM;e6950e7cf2a6f0ef63a594ad5e49a44f
73424;SIMÃO SESSIM;SIMÃO SESSIM;e6950e7cf2a6f0ef63a594ad5e49a44f
73424;SIMÃO SESSIM;SIMÃO SESSIM;e6950e7cf2a6f0ef63a594ad5e49a44f
73424;SIMÃO SESSIM;SIMÃO SESSIM;e6950e7cf2a6f0ef63a594ad5e49a44f
160667;GUILHERME MUSSI FERREIRA;GUILHERME MUSSI;a1a4e0cac6bbea6ed1032e68320e5007
160667;GUILHERME MUSSI FERREIRA;GUILHERME MUSSI;a1a4e0cac6bbea6ed1032e68320e5007
73535;JORGE TADEU MUDALEN;JORGE TADEU MUDALEN;ba72072cde69568561b124f07836c834
73535;JORGE TADEU MUDALEN;JORGE TADEU MUDALEN;ba72072cde69568561b124f07836c834
73535;JORGE TADEU MUDALEN;JORGE TADEU MUDALEN;ba72072cde69568561b124f07836c834
73535;JORGE TADEU MUDALEN;JORGE TADEU MUDALEN;ba72072cde69568561b124f07836c834
160592;JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA;ZECA DIRCEU;36dd559fe2da0ffc1f44d3a02f071e1d
160592;JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA;ZECA DIRCEU;36dd559fe2da0ffc1f44d3a02f071e1d
74553;JOSÉ CARLOS ALELUIA COSTA;JOSÉ CARLOS ALELUIA;100005d24c826be0e1f52976aec76a09
74553;JOSÉ CARLOS ALELUIA COSTA;JOSÉ CARLOS ALELUIA;100005d24c826be0e1f52976aec76a09
74553;JOSÉ CARLOS ALELUIA COSTA;JOSÉ CARLOS ALELUIA;100005d24c826be0e1f52976aec76a09
74762;JOSÉ SARAIVA FELIPE;SARAIVA FELIPE;a0fc3f0cf0f134e5dbfd1338623b893b
74762;JOSÉ SARAIVA FELIPE;SARAIVA FELIPE;a0fc3f0cf0f134e5dbfd1338623b893b
74762;JOSÉ SARAIVA FELIPE;SARAIVA FELIPE;a0fc3f0cf0f134e5dbfd1338623b893b
74762;JOSÉ SARAIVA FELIPE;SARAIVA FELIPE;a0fc3f0cf0f134e5dbfd1338623b893b
105112;LUIZ GIONILSON PINHEIRO BORGES;CABUÇU BORGES;d9fe6c0ed154f7ce3d3df6347364a2cd
74419;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;fc92b34cc2f1b74953af3b184dcff2e4
74419;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;fc92b34cc2f1b74953af3b184dcff2e4
74419;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;fc92b34cc2f1b74953af3b184dcff2e4
74419;LUIZ GONZAGA PATRIOTA;GONZAGA PATRIOTA;fc92b34cc2f1b74953af3b184dcff2e4
73466;RUBENS BUENO;RUBENS BUENO;c4485801ecca8295839fd6ad4c246882
73466;RUBENS BUENO;RUBENS BUENO;c4485801ecca8295839fd6ad4c246882
73586;JÚLIO CÉSAR DELGADO;JÚLIO DELGADO;e197001045d48a1fcf3a107205c8d6ee
73586;JÚLIO CÉSAR DELGADO;JÚLIO DELGADO;e197001045d48a1fcf3a107205c8d6ee
73586;JÚLIO CÉSAR DELGADO;JÚLIO DELGADO;e197001045d48a1fcf3a107205c8d6ee
73586;JÚLIO CÉSAR DELGADO;JÚLIO DELGADO;e197001045d48a1fcf3a107205c8d6ee
178969;FABIO CRUZ MITIDIERI;FÁBIO MITIDIERI;c7a46ad01549823f81660e1ec33a46d3
160619;JOSÉ NUNES SOARES;JOSÉ NUNES;93f13260ec8f61ebbad05c1e5e5a4dbe
160619;JOSÉ NUNES SOARES;JOSÉ NUNES;93f13260ec8f61ebbad05c1e5e5a4dbe
178861;RONALDO CARLETTO;RONALDO CARLETTO;75de7a06dc5a7e3edc009d407c1bd6a9
178881;ALUISIO GUIMARAES MENDES FILHO;ALUISIO MENDES;b12648455fa547b956c227b72dee0be4
178947;SOSTENES SILVA CAVALCANTE;SÓSTENES CAVALCANTE;421fe1881564798e609b6afc5b9189bd
141484;LÚCIO DUTRA VALE;LÚCIO VALE;eea74c5760f313e17b071430ef02051e
141484;LÚCIO DUTRA VALE;LÚCIO VALE;eea74c5760f313e17b071430ef02051e
141484;LÚCIO DUTRA VALE;LÚCIO VALE;eea74c5760f313e17b071430ef02051e
74090;ÁTILA SIDNEY LINS ALBUQUERQUE;ÁTILA LINS;5c2d38915382aa0de66b437d97491556
74090;ÁTILA SIDNEY LINS ALBUQUERQUE;ÁTILA LINS;5c2d38915382aa0de66b437d97491556
74090;ÁTILA SIDNEY LINS ALBUQUERQUE;ÁTILA LINS;5c2d38915382aa0de66b437d97491556
74090;ÁTILA SIDNEY LINS ALBUQUERQUE;ÁTILA LINS;5c2d38915382aa0de66b437d97491556
160527;AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;763cbe309ac7581476388a53524c117d
160527;AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;763cbe309ac7581476388a53524c117d
178878;GIUSEPPE VECCI;GIUSEPPE VECCI;f7605c1716702d56c425194b9b49296a
74172;WANDERLEY ALVES DE OLIVEIRA;DELEY;bfb64baa44327e99e1de8fa1b1ed66a0
74172;WANDERLEY ALVES DE OLIVEIRA;DELEY;bfb64baa44327e99e1de8fa1b1ed66a0
74172;WANDERLEY ALVES DE OLIVEIRA;DELEY;bfb64baa44327e99e1de8fa1b1ed66a0
74172;WANDERLEY ALVES DE OLIVEIRA;DELEY;bfb64baa44327e99e1de8fa1b1ed66a0
74235;MARCUS ANTÔNIO VICENTE;MARCUS VICENTE;d73eb53527994b68120401ecdb74b55d
74235;MARCUS ANTÔNIO VICENTE;MARCUS VICENTE;d73eb53527994b68120401ecdb74b55d
74235;MARCUS ANTÔNIO VICENTE;MARCUS VICENTE;d73eb53527994b68120401ecdb74b55d
141398;CARLOS ALBERTO ROLIM ZARATTINI;CARLOS ZARATTINI;c7fdb111874a5404f36f421943d468a1
141398;CARLOS ALBERTO ROLIM ZARATTINI;CARLOS ZARATTINI;c7fdb111874a5404f36f421943d468a1
141398;CARLOS ALBERTO ROLIM ZARATTINI;CARLOS ZARATTINI;c7fdb111874a5404f36f421943d468a1
160630;SÁGUAS MORAES SOUSA;SÁGUAS MORAES;90cc86650f3e53dc81de3df1cd32fa69
160630;SÁGUAS MORAES SOUSA;SÁGUAS MORAES;90cc86650f3e53dc81de3df1cd32fa69
178858;MARIO SILVIO MENDES NEGROMONTE JUNIOR;MÁRIO NEGROMONTE JR.;aa8bddf5d0e2cae0e6700f5932354224
178842;JOAO HENRIQUE HOLANDA  CALDAS;JHC;2d7daefb91fe8598d1cb3352157d40f5
178985;MIGUEL LOMBARDI;MIGUEL LOMBARDI;d8e02f3e991b05e1ec87cca8c1d735bb
74574;PAULO SÉRGIO PARANHOS DE MAGALHÃES;PAULO MAGALHÃES;c2dce304dd45feeba24c856a3d3ad621
74574;PAULO SÉRGIO PARANHOS DE MAGALHÃES;PAULO MAGALHÃES;c2dce304dd45feeba24c856a3d3ad621
74574;PAULO SÉRGIO PARANHOS DE MAGALHÃES;PAULO MAGALHÃES;c2dce304dd45feeba24c856a3d3ad621
74574;PAULO SÉRGIO PARANHOS DE MAGALHÃES;PAULO MAGALHÃES;c2dce304dd45feeba24c856a3d3ad621
160426;ROGÉRIO SCHUMANN ROSSO;ROGÉRIO ROSSO;7dd2b4ffa19a2798ef9fb9dbb5fa926d
160426;ROGÉRIO SCHUMANN ROSSO;ROGÉRIO ROSSO;7dd2b4ffa19a2798ef9fb9dbb5fa926d
178953;EXPEDITO GONCALVES FERREIRA NETTO;EXPEDITO NETTO;764ff7d7fcdcc28451919bc6e428af37
74655;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;ed53efc37e0fb95f83f753d9ab2e67f5
74655;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;ed53efc37e0fb95f83f753d9ab2e67f5
74655;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;ed53efc37e0fb95f83f753d9ab2e67f5
74655;EDUARDO LUIZ BARROS BARBOSA;EDUARDO BARBOSA;ed53efc37e0fb95f83f753d9ab2e67f5
141427;FÁBIO AUGUSTO RAMALHO DOS SANTOS;FÁBIO RAMALHO;8f115737fdad35f915df686093a780db
141427;FÁBIO AUGUSTO RAMALHO DOS SANTOS;FÁBIO RAMALHO;8f115737fdad35f915df686093a780db
141427;FÁBIO AUGUSTO RAMALHO DOS SANTOS;FÁBIO RAMALHO;8f115737fdad35f915df686093a780db
74017;PAULO FERNANDO FEIJO TORRES;PAULO FEIJÓ;cebd128b02a1771e02f5c4009d37e34a
74017;PAULO FERNANDO FEIJO TORRES;PAULO FEIJÓ;cebd128b02a1771e02f5c4009d37e34a
74017;PAULO FERNANDO FEIJO TORRES;PAULO FEIJÓ;cebd128b02a1771e02f5c4009d37e34a
160569;WALDENOR ALVES PEREIRA FILHO;WALDENOR PEREIRA;d64d2545338ce180101c58d977a9035c
160569;WALDENOR ALVES PEREIRA FILHO;WALDENOR PEREIRA;d64d2545338ce180101c58d977a9035c
178915;HEBERTE LAMARCK GOMES DA SILVA;BETINHO GOMES;491d0297d2b18912f376b88e106fea6f
178837;RAIMUNDO ANGELIM VASCONCELOS;ANGELIM;7601bab2d81df06ad026445c9f4accde
141515;OTAVIO SANTOS SILVA LEITE;OTAVIO LEITE;010f1a0f5aa4c9648a4b6989644ceffb
141515;OTAVIO SANTOS SILVA LEITE;OTAVIO LEITE;010f1a0f5aa4c9648a4b6989644ceffb
141515;OTAVIO SANTOS SILVA LEITE;OTAVIO LEITE;010f1a0f5aa4c9648a4b6989644ceffb
178966;GEOVANIA DE SA RODRIGUES;GEOVANIA DE SÁ;244270d9328b8d970d4abe1f040bd12a
178944;ROBERTO DA SILVA SALES;ROBERTO SALES;6a732b5f970f3c75cf38a679f019d8eb
160588;DIEGO LEONARDO DE ANDRADE CARVALHO;DIEGO ANDRADE;5deb40d7b008913665311d8e703070d0
160588;DIEGO LEONARDO DE ANDRADE CARVALHO;DIEGO ANDRADE;5deb40d7b008913665311d8e703070d0
178912;PEDRO OLIVEIRA CUNHA LIMA;PEDRO CUNHA LIMA;739671de73474399cc69f42079074251
69871;JOAO CARLOS BACELAR BATISTA;BACELAR;16702149ae74ef50384b529c68f8c2c0
73781;NELSON MEURER;NELSON MEURER;7f6c54b41a747618e71b5b31d6d3fc81
73781;NELSON MEURER;NELSON MEURER;7f6c54b41a747618e71b5b31d6d3fc81
73781;NELSON MEURER;NELSON MEURER;7f6c54b41a747618e71b5b31d6d3fc81
73781;NELSON MEURER;NELSON MEURER;7f6c54b41a747618e71b5b31d6d3fc81
178891;CAIO NARCIO RODRIGUES DA SILVEIRA;CAIO NARCIO;5b49d0acc6bce9a0681020e8cd5a4d97
141507;MAURO MARIANI;MAURO MARIANI;1bc33ea9e375b79aa993e22ed887705f
141507;MAURO MARIANI;MAURO MARIANI;1bc33ea9e375b79aa993e22ed887705f
141507;MAURO MARIANI;MAURO MARIANI;1bc33ea9e375b79aa993e22ed887705f
160628;LUCIANA BARBOSA DE OLIVEIRA SANTOS;LUCIANA SANTOS;311c7f1fc8e8a4b8b810de3462fa1b8b
160628;LUCIANA BARBOSA DE OLIVEIRA SANTOS;LUCIANA SANTOS;311c7f1fc8e8a4b8b810de3462fa1b8b
141500;MARCOS MONTES CORDEIRO;MARCOS MONTES;f999faac64591c38b8b3d68781b686b4
141500;MARCOS MONTES CORDEIRO;MARCOS MONTES;f999faac64591c38b8b3d68781b686b4
141500;MARCOS MONTES CORDEIRO;MARCOS MONTES;f999faac64591c38b8b3d68781b686b4
114941;JOSINIANE BRAGA NUNES;JOSI NUNES;83898add40286cf02279eae4ab470bc2
178977;EDUARDO PEDROSA CURY;EDUARDO CURY;c444e2c3cbc4526f85e07cdba9b96fb2
178871;EVAIR VIEIRA DE MELO;EVAIR VIEIRA DE MELO;f7cd8a126ce42e53d6f0d70927dcda39
178928;CHRISTIANE DE SOUZA YARED;CHRISTIANE DE SOUZA YARED;858b03cf695e7284c70439a20f8c7e21
178852;MARCOS JOSE REATEGUI SOUZA;MARCOS REATEGUI;1c045789376055d34a37e35425ea4da7
74216;RAIMUNDO GOMES DE MATOS;RAIMUNDO GOMES DE MATOS;d0834c558ec848be7ee9b55a6ea5ef0f
74216;RAIMUNDO GOMES DE MATOS;RAIMUNDO GOMES DE MATOS;d0834c558ec848be7ee9b55a6ea5ef0f
74216;RAIMUNDO GOMES DE MATOS;RAIMUNDO GOMES DE MATOS;d0834c558ec848be7ee9b55a6ea5ef0f
74216;RAIMUNDO GOMES DE MATOS;RAIMUNDO GOMES DE MATOS;d0834c558ec848be7ee9b55a6ea5ef0f
74376;VANDER LUIZ DOS SANTOS LOUBET;VANDER LOUBET;fee017ba7c7a35670a19728bc51290ef
74376;VANDER LUIZ DOS SANTOS LOUBET;VANDER LOUBET;fee017ba7c7a35670a19728bc51290ef
74376;VANDER LUIZ DOS SANTOS LOUBET;VANDER LOUBET;fee017ba7c7a35670a19728bc51290ef
74376;VANDER LUIZ DOS SANTOS LOUBET;VANDER LOUBET;fee017ba7c7a35670a19728bc51290ef
74459;ÁTILA FREITAS LIRA;ÁTILA LIRA;c0f1c291dec74d587b1f0d819617c764
74459;ÁTILA FREITAS LIRA;ÁTILA LIRA;c0f1c291dec74d587b1f0d819617c764
74459;ÁTILA FREITAS LIRA;ÁTILA LIRA;c0f1c291dec74d587b1f0d819617c764
74459;ÁTILA FREITAS LIRA;ÁTILA LIRA;c0f1c291dec74d587b1f0d819617c764
4931;IZALCI LUCAS FERREIRA;IZALCI;0520c9db58beae40163e62d169baaf09
4931;IZALCI LUCAS FERREIRA;IZALCI;0520c9db58beae40163e62d169baaf09
4931;IZALCI LUCAS FERREIRA;IZALCI;0520c9db58beae40163e62d169baaf09
178802;LUIZ CARLOS RAMOS;LUIZ CARLOS RAMOS ;880451d9062b3861975e276c0e51e200
73482;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;49fddfccb24d1ed9b3a7e36d70ad545c
73482;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;49fddfccb24d1ed9b3a7e36d70ad545c
73482;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;49fddfccb24d1ed9b3a7e36d70ad545c
73482;HENRIQUE FONTANA JÚNIOR;HENRIQUE FONTANA;49fddfccb24d1ed9b3a7e36d70ad545c
178930;EVANDRO ROGERIO ROMAN;EVANDRO ROMAN;d22e02389a9501d65fde0fccaff43960
178963;LUIS ANTONIO FRANCISCATTO COVATTI;COVATTI FILHO;8648278b8bf7c90484397c28c275d6bb
160576;CESAR HANNA HALUM;CÉSAR HALUM;6c80b0ab7db1d138409279a525b0effb
160576;CESAR HANNA HALUM;CÉSAR HALUM;6c80b0ab7db1d138409279a525b0effb
141421;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;bc4d2efaf4b19995cb3cb37ca68903e7
141421;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;bc4d2efaf4b19995cb3cb37ca68903e7
141421;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;EDUARDO DA FONTE;bc4d2efaf4b19995cb3cb37ca68903e7
122158;PEDRO PAULO CARVALHO TEIXEIRA;PEDRO PAULO;ac237d700b586f3d6b6c8dd78137ea46
122158;PEDRO PAULO CARVALHO TEIXEIRA;PEDRO PAULO;ac237d700b586f3d6b6c8dd78137ea46
141422;EFRAIM DE ARAÚJO MORAIS FILHO;EFRAIM FILHO;0f1b0d954ea735d5be92e1d4547d3e9f
141422;EFRAIM DE ARAÚJO MORAIS FILHO;EFRAIM FILHO;0f1b0d954ea735d5be92e1d4547d3e9f
141422;EFRAIM DE ARAÚJO MORAIS FILHO;EFRAIM FILHO;0f1b0d954ea735d5be92e1d4547d3e9f
74787;MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;2220e48ce42bc3e43edffe9b935ca9b4
74787;MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;2220e48ce42bc3e43edffe9b935ca9b4
74787;MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;2220e48ce42bc3e43edffe9b935ca9b4
74787;MILTON ANTONIO CASQUEL MONTI;MILTON MONTI;2220e48ce42bc3e43edffe9b935ca9b4
74270;GILBERTO NASCIMENTO SILVA;GILBERTO NASCIMENTO;5698034c757a41fed114b31a1f516df2
74270;GILBERTO NASCIMENTO SILVA;GILBERTO NASCIMENTO;5698034c757a41fed114b31a1f516df2
178888;CARLOS VICTOR GUTERRES MENDES;VICTOR MENDES;ef4b364a41d424765751a8d70382c997
178825;LEONARDO CUNHA DE BRITO;LEO DE BRITO;6d0d1ccd8ceab530cd2909822a0c0f68
73931;JOSÉ GERALDO TORRES DA SILVA;ZÉ GERALDO;f9feeca054d7eafc619d3072700229fe
73931;JOSÉ GERALDO TORRES DA SILVA;ZÉ GERALDO;f9feeca054d7eafc619d3072700229fe
73931;JOSÉ GERALDO TORRES DA SILVA;ZÉ GERALDO;f9feeca054d7eafc619d3072700229fe
73931;JOSÉ GERALDO TORRES DA SILVA;ZÉ GERALDO;f9feeca054d7eafc619d3072700229fe
178910;JOAQUIM PASSARINHO PINTO DE SOUZA PORTO;JOAQUIM PASSARINHO;06c829def4c2e33cd70cf3fbca598c9a
160632;JOSÉ SILVA SOARES;ZÉ SILVA;2a98ac377317ee88f2f170f50a5cfba0
160632;JOSÉ SILVA SOARES;ZÉ SILVA;2a98ac377317ee88f2f170f50a5cfba0
178981;HERCULANO CASTILHO PASSOS JUNIOR;HERCULANO PASSOS;dd3d2da8e406804cd363fd2b8bf1d0e0
178908;EDER MAURO CARDOSO BARRA;DELEGADO ÉDER MAURO;e16d900de2320e6fa16b015b5da10bb5
160578;EDMAR DE SOUZA ARRUDA;EDMAR ARRUDA;cf5eaf501f514a35175cd51f7f5d5e12
160578;EDMAR DE SOUZA ARRUDA;EDMAR ARRUDA;cf5eaf501f514a35175cd51f7f5d5e12
74374;GERALDO RESENDE PEREIRA;GERALDO RESENDE;080c28b7ea211c22ab127f97849ac3d4
74374;GERALDO RESENDE PEREIRA;GERALDO RESENDE;080c28b7ea211c22ab127f97849ac3d4
74374;GERALDO RESENDE PEREIRA;GERALDO RESENDE;080c28b7ea211c22ab127f97849ac3d4
74374;GERALDO RESENDE PEREIRA;GERALDO RESENDE;080c28b7ea211c22ab127f97849ac3d4
160641;MARCIVANIA DO SOCORRO DA ROCHA FLEXA;PROFESSORA MARCIVANIA;42f65a194015bd9f60eaadcd9737e989
160641;MARCIVANIA DO SOCORRO DA ROCHA FLEXA;PROFESSORA MARCIVANIA;42f65a194015bd9f60eaadcd9737e989
141464;JOSÉ AIRTON FÉLIX CIRILO DA SILVA;JOSÉ AIRTON CIRILO;330de0cf46d187f0bf5208eee7104c8a
141464;JOSÉ AIRTON FÉLIX CIRILO DA SILVA;JOSÉ AIRTON CIRILO;330de0cf46d187f0bf5208eee7104c8a
141464;JOSÉ AIRTON FÉLIX CIRILO DA SILVA;JOSÉ AIRTON CIRILO;330de0cf46d187f0bf5208eee7104c8a
74688;LUIZ SÉRGIO NÓBREGA DE OLIVEIRA;LUIZ SÉRGIO;3c64832030ebc2362a4085de84ee8d22
74688;LUIZ SÉRGIO NÓBREGA DE OLIVEIRA;LUIZ SÉRGIO;3c64832030ebc2362a4085de84ee8d22
74688;LUIZ SÉRGIO NÓBREGA DE OLIVEIRA;LUIZ SÉRGIO;3c64832030ebc2362a4085de84ee8d22
74688;LUIZ SÉRGIO NÓBREGA DE OLIVEIRA;LUIZ SÉRGIO;3c64832030ebc2362a4085de84ee8d22
74212;ANÍBAL FERREIRA GOMES;ANÍBAL GOMES;f5423abcf850afb27c1a7ccb42568e94
74212;ANÍBAL FERREIRA GOMES;ANÍBAL GOMES;f5423abcf850afb27c1a7ccb42568e94
74212;ANÍBAL FERREIRA GOMES;ANÍBAL GOMES;f5423abcf850afb27c1a7ccb42568e94
74212;ANÍBAL FERREIRA GOMES;ANÍBAL GOMES;f5423abcf850afb27c1a7ccb42568e94
74079;JOSÉ BENITO PRIANTE JÚNIOR;JOSÉ PRIANTE;c51870081b36daaa092acf7f4b25d4b4
74079;JOSÉ BENITO PRIANTE JÚNIOR;JOSÉ PRIANTE;c51870081b36daaa092acf7f4b25d4b4
74079;JOSÉ BENITO PRIANTE JÚNIOR;JOSÉ PRIANTE;c51870081b36daaa092acf7f4b25d4b4
73720;César Antonio de Souza;CESAR SOUZA;2ad9058d9da1478741d1dfaf47fe7122
74283;VICENTE PAULO DA SILVA;VICENTINHO;2d0dccc054c561f9e32add86825157f5
74283;VICENTE PAULO DA SILVA;VICENTINHO;2d0dccc054c561f9e32add86825157f5
74283;VICENTE PAULO DA SILVA;VICENTINHO;2d0dccc054c561f9e32add86825157f5
74283;VICENTE PAULO DA SILVA;VICENTINHO;2d0dccc054c561f9e32add86825157f5
74388;JORGE CATARINO LEONARDELI BOEIRA;JORGE BOEIRA;0e86aee1dcde259e51a01aed947c92a6
74388;JORGE CATARINO LEONARDELI BOEIRA;JORGE BOEIRA;0e86aee1dcde259e51a01aed947c92a6
74388;JORGE CATARINO LEONARDELI BOEIRA;JORGE BOEIRA;0e86aee1dcde259e51a01aed947c92a6
74388;JORGE CATARINO LEONARDELI BOEIRA;JORGE BOEIRA;0e86aee1dcde259e51a01aed947c92a6
