slp:resource_uri;NumeroLegislatura;cam:finishDate;cam:sigla;cam:siglaUFRepresentacao;cam:startDate;org:member;org:role;sen:CodigoMandato;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;sen:UfParlamentar;sen:finishDate;sen:startDate
c72ef8cc-015e-4ee9-ace4-f36f00bc049a;;;;GO;2015-02-01;413a3ac3-bcd0-4bb9-9b49-b03ce2014e06;4e06de02-6998-4c96-94b3-bfb0ee4b3907;;;;;;;
fb7b4218-6513-4957-a234-ba272d376fc5;;;;RJ;2015-02-01;dc487c48-3d09-4709-a107-2b1fabe26f6a;d7534d1e-ea5a-4fb0-ba26-6a98c17c4987;;;;;;;
83c95cf6-1eb1-46c2-9683-40186abed19a;;;;BA;2015-02-01;6352fe51-c310-409c-82f4-088130e6973d;31496a3f-0a3d-4d73-8780-9b1626a4f2fb;;;;;;;
78d031b8-0c3a-4aad-a81e-a1bec51d2aa5;;2016-04-06;;SP;2015-02-01;2b913d98-5ab3-4605-937d-ec26e40f09c7;9ebd2faf-4df0-4fd3-9cd9-4ddce3dff49c;;;;;;;
83c40af2-5ee1-4a99-a8da-9d9202a1cbce;;2016-05-12;;RS;2015-02-01;c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4;d3f646a1-ea8e-4a35-bdff-3a9600cf8550;;;;;;;
61c60c27-ec08-4d3f-8aac-b4e2a9a0d86f;;;;MS;2015-02-01;c5c7c191-13e4-435c-92f9-4387209d3f1d;a25ee61b-ba5b-4533-bfe4-5b9b499c436e;;;;;;;
d6ca2feb-aa87-4bca-b107-4ed51bc9242b;;;;MS;2015-02-01;751854d4-1a34-467e-a257-1733509ca504;ec02ca8e-c5ba-48b8-8d18-512d1b5b636d;;;;;;;
d3163ccf-c040-43a9-a487-e100a3c52d48;;;;MA;2015-02-01;cbb14715-0305-430d-bc1c-dbf011a2b347;604ea0e5-e530-40ee-9b53-ebbfddeb02bc;;;;;;;
20e87bea-8efc-4b7b-a040-01324d630932;;;;BA;2015-02-01;df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a;44d9b1b4-8433-4d0a-b927-cbc2b5881eca;;;;;;;
cea81291-0554-48c7-a696-1ae6b38ea76b;;;;MT;2015-02-01;06542a65-3e37-489a-b14d-8f29edd32f86;1bad12e2-51a9-4c35-b412-b8dd672e0cd8;;;;;;;
90363bf8-3523-45a0-9558-1879f2e2a5be;;;;MA;2015-02-01;7b9fcb0c-b186-4b43-b289-476c3a2960dd;4a02e561-fd92-4df6-beaa-1a6553cc9bc0;;;;;;;
a765660d-d46c-4152-80b9-c25b7d31fc3c;;;;SC;2015-02-01;c3d3625e-ea63-4afa-8519-86cff2399cdf;0bca2930-cf61-49ac-87a1-0ed8e628af24;;;;;;;
519fd802-8e88-41c7-acda-20c407f274f0;;;;RN;2015-02-01;8fa4ec72-82c0-4868-a76a-ed04e6e57caf;a40b1fa4-bcfe-4e15-a023-a05cd80a6c8a;;;;;;;
ff1c2480-5f18-4aae-8c55-1a0073b73df3;;;;MS;2015-02-01;76097d2b-f224-4ccf-9005-c24f380cb13b;0d656514-2e0a-41b1-9b93-e4fcb6d90db9;;;;;;;
b96c0d29-7a3b-4d7e-a4ba-bf8202748bad;;;;SP;2015-02-01;61884513-cd6d-445c-9a00-3ea457ecee26;0a5bd7f8-a157-496a-94af-8154537f8a49;;;;;;;
b5d7d1bc-b9a5-425e-b2e7-795b67004a3b;;;;PE;2015-02-01;975d7b68-4473-4651-a477-27517b8697bf;f6d0a814-5e39-430e-bb3e-c9038370d66d;;;;;;;
2923babe-8d46-4020-8b8c-4fde5425b1e6;;;;PA;2015-02-01;ad6dcb7b-7111-4e00-8ea9-2b932c07f863;3873a39c-66db-474f-98bd-34ff3b52849c;;;;;;;
0f96346e-e8da-4735-a748-e5800b3b2bbe;;;;MG;2015-02-01;e9787dec-f1e0-4c2a-a554-ddb4cf785225;58e55491-7217-4dae-9e4b-2daf27697c96;;;;;;;
b12b5de2-2515-434a-9f4e-1078b32bebd2;;;;PA;2015-02-01;89cd5a89-6ba4-42e4-b2c7-d514d5660239;245a43e5-d774-4d70-820d-42859c7b8907;;;;;;;
650fb93e-ade9-4892-937c-5548415ba7ae;;;;PR;2015-02-01;719ae20e-7c84-4767-8f1e-f6f0624cd5ea;0d68d3b5-febd-4df8-b4bf-f29634c026c0;;;;;;;
e6fb708a-cab4-4afd-b332-8540b35f947d;;;;PE;2015-02-01;fe1660c8-1e36-4a4d-a8cc-33b7b0922eb1;57e2bceb-5495-4289-9eb9-8f1682718831;;;;;;;
ab8dfc6c-61f1-4919-b7ac-f5a3b1318016;;;;RN;2015-02-01;ab9bb9f5-a5b7-4a7d-ad97-9ff6d82277e3;cb18a96f-1b68-450e-943c-1886402e8b68;;;;;;;
f882b618-7529-49a6-abfc-1ac0ebf50c7d;;;;PB;2015-02-01;da0772a1-8e59-4d0e-ac25-846285ee4ff0;afc19d97-cea3-481c-a461-600689780d13;;;;;;;
7b987994-b412-4476-a7f5-47dbc4433c3e;;2015-09-08;;MA;2015-02-01;9baea0e6-e9df-4fb6-a04b-3ece7f0040b9;89cfe2be-5240-4733-81f9-044d9ca510a1;;;;;;;
611b798c-879b-4c1f-804e-5aa6c200a69d;;2017-01-01;;RJ;2015-02-01;514108aa-be67-4968-aab0-c6ebcc3db613;29e1eb0d-8c3f-4472-94b7-2190387957b0;;;;;;;
107635e0-f958-488c-915a-764f02732eaf;;;;PB;2015-02-01;2b57a97d-5db3-405c-bedd-433aa3fb1c5b;f750035d-7888-467a-baae-fa31728223b2;;;;;;;
d972aeca-a74b-43bc-952e-35ddab915151;;;;CE;2015-02-01;23b18b97-d11c-46ed-8169-896c71ff7030;778e4636-d296-477b-9dfe-d2de4fec0679;;;;;;;
85fbcffe-6eea-4119-bda4-db2095e58826;;;;SP;2015-02-01;e8fccb5e-7e21-455e-a6a2-b400cb91604e;d49cdbff-7d58-43ed-9155-d557755d261e;;;;;;;
ae58a305-d8d2-47e1-a16c-d41efcef0670;;;;AP;2015-02-01;4070654b-a5b5-4dc1-9848-08f87f5f9893;c503952c-e90a-4275-8d44-b6f0f76f2a7b;;;;;;;
fc46209e-afd7-42b4-9f32-cd24436ff141;;;;MA;2015-02-01;c339b7a0-1f09-49eb-b2da-7d536a0baa2f;f1f18d7d-1f7d-48af-be9d-7c245a662ab9;;;;;;;
c9fdbcd4-361f-4dfa-bb0e-50f6ebd95e7d;;;;TO;2015-02-01;cdc486fd-fa90-4ce2-9ac3-1c9e8547e98a;98ebf5a1-ec49-4641-bb10-62be8eb85276;;;;;;;
0d663341-9209-4619-8c25-f0be0a98d6b2;;;;SP;2015-02-01;e3fa9616-712b-43c8-9056-044053fcd89f;46251b52-a5ae-4d95-9b0f-070f320fdaa8;;;;;;;
bd7db5ce-eeb9-4769-afe2-7e76c87e418f;;;;MG;2015-02-01;734dbcd1-eb66-4b24-ac70-c911da6a8ac3;341b3b30-702c-4e87-b501-8e216f86560e;;;;;;;
e66e3d8a-c0b7-4123-bd28-84ea7f5666ac;;;;SP;2015-02-01;08188559-f368-4b5d-b2e1-c9fa4b67b3d5;c739cef6-1e94-44dc-a455-cd64701e8b44;;;;;;;
322f7ffc-2823-46c1-99bb-d2b60428780b;;;;SP;2015-02-01;72545472-9772-4d2a-b11e-4209daadcb53;96fafe21-1c60-4244-9cae-11c08009e64c;;;;;;;
7bbb7351-1a46-4570-b838-49108ec6cc04;;2017-07-06;;MT;2015-02-01;927e79df-3c9a-4230-bdbb-cabfa2838295;e536a5ba-219d-4c6c-b9f5-7728e15f3f7e;;;;;;;
8569def2-bb6d-43d6-a790-68c6ab52f114;;;;SP;2015-02-01;c4e54cae-0a61-41f7-aead-7e01a510e443;99dbf0c6-073b-47c1-828e-585f0a473b54;;;;;;;
43abe000-c042-4136-ad18-1bc9a9c6880a;;;;SC;2015-02-01;6a71baef-158f-4269-b65d-b986bcec389e;5a884710-eac6-463d-8aef-77199edf2ff0;;;;;;;
