cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slnp:resource_uri
;PSDB;;15d73351-e972-4a4b-8bae-80ac730513b5;6a688541-b16a-45ca-8aa9-fa700373279f;98815f33-a3de-4950-920b-9ab8a8280eec
;PSDB;;0328f737-88fc-4325-9e2a-300cec9b9cae;6a688541-b16a-45ca-8aa9-fa700373279f;1d5d638c-f1be-4920-8239-774f2a33bd8b
;PSOL;;31fbec5e-1e00-496c-a0f6-5d1e56c34cc5;6a688541-b16a-45ca-8aa9-fa700373279f;dfe5f9d2-9076-4041-8e34-b483e54e1fca
;PP;;15a7dab6-461f-4543-929c-93d2e6ed0069;6a688541-b16a-45ca-8aa9-fa700373279f;167fe21c-7078-48bc-9c5e-9e51d4069622
;PV;;fda9e9b6-791b-4063-92dd-942f1bd28e88;6a688541-b16a-45ca-8aa9-fa700373279f;8d3a13d5-6693-4676-8e44-7cbd584b404d
;PSDB;;e4658aff-e9cd-49a5-a2c5-7c557baa744c;6a688541-b16a-45ca-8aa9-fa700373279f;28d8be68-cb51-4091-8fe6-d7c20d58a830
;PPS;;e4658aff-e9cd-49a5-a2c5-7c557baa744c;6a688541-b16a-45ca-8aa9-fa700373279f;ee5e85fd-a55d-4eaf-affc-2a1004bb6ae4
;PSDB;;7dd105df-c756-44c3-9a42-7655937beeda;6a688541-b16a-45ca-8aa9-fa700373279f;c0309032-c55b-4e4a-b24e-1085ed36b8aa
;PDT;;ecbfdca4-942a-4477-80f1-5f6935e14eea;6a688541-b16a-45ca-8aa9-fa700373279f;5c84d025-e7c1-4c67-9aa9-d13b2347ee34
;PSB;;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;6a688541-b16a-45ca-8aa9-fa700373279f;c064c0de-ddc0-478c-92b1-8ba078221ac8
;PSOL;;f100aed0-b8f8-42e1-89a2-351d7fbcb69b;6a688541-b16a-45ca-8aa9-fa700373279f;65735c51-cda0-4f3b-b604-fe1902c72b31
;PP;;84a09e64-bf05-49c3-b91c-ddfec4fee2e7;6a688541-b16a-45ca-8aa9-fa700373279f;1b87af00-8bac-4bca-958a-ed416513935b
;PSB;;99b1944f-c6cd-4128-a4d3-15c7fb9aac78;6a688541-b16a-45ca-8aa9-fa700373279f;708eb97c-4f3d-4bda-b11a-6dff8a8a6496
;PMN;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;f3e58406-6c82-4178-9461-9c2db82f29df
;PMB;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;1f187923-3dee-4e0c-b703-3544cfb53850
;S.PART.;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;c8302433-c605-48ce-a305-e7063fb8ed78
;PP;;2497fcf9-d994-4c8e-b48e-a4be711b78fc;6a688541-b16a-45ca-8aa9-fa700373279f;60b6132c-6564-4476-8861-3c9abd2d8705
;PSB;;aca6b811-13f6-44ea-9a5a-c5282d37a2aa;6a688541-b16a-45ca-8aa9-fa700373279f;6ea08e5f-2b9d-48fe-954a-2ec7e4bd53ca
;PSB;;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;6a688541-b16a-45ca-8aa9-fa700373279f;e4ce19ba-5162-4cf3-89f5-33b237ee6490
;PROS;;5b3fe908-a9fa-47cb-84cb-a03dc49d26a2;6a688541-b16a-45ca-8aa9-fa700373279f;8c439765-0318-47f5-b720-a33ec3577343
;PRB;;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;6a688541-b16a-45ca-8aa9-fa700373279f;bd7caad7-a42a-4761-a20c-e39a665c0424
;PP;;9b2c766a-ba57-44ad-8cd6-19468fa82aeb;6a688541-b16a-45ca-8aa9-fa700373279f;ea71c97e-14e8-463f-b0a8-2463d7a20be3
;PSD;;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;6a688541-b16a-45ca-8aa9-fa700373279f;f479cf96-24b6-4681-a428-aac1ec9e8a2a
;PTN;;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;6a688541-b16a-45ca-8aa9-fa700373279f;6cdb7076-ad75-43c1-a54b-3fe680e0ec90
;PODE;;055e54d4-9a34-4cdf-ae4e-c9b6a933a2bf;6a688541-b16a-45ca-8aa9-fa700373279f;394a03ca-12f4-4e41-834f-fa3dc157b88d
;PT;;b004a190-744c-47e6-af4f-ddffd36adc96;6a688541-b16a-45ca-8aa9-fa700373279f;4406c907-d552-4603-a1ea-e10d97f3984e
;PCdoB;;99a43ef5-ded5-48bf-9792-dd1d74c5cd9c;6a688541-b16a-45ca-8aa9-fa700373279f;8c1878b9-4137-48de-8bcc-1f15cd8e35f0
;PTB;;9a5e3486-1552-476d-a619-fa898782adc3;6a688541-b16a-45ca-8aa9-fa700373279f;fc64393a-fcd9-4d6d-8019-a311ab1e5e1f
;PTN;;9a5e3486-1552-476d-a619-fa898782adc3;6a688541-b16a-45ca-8aa9-fa700373279f;2dd8c513-fcec-4096-9dba-fe136568fe0c
