finishDate;org:member;org:role;resource_uri;role;startDate
;4c1a0a0a-4e60-4980-84cc-bf878785445b;6a688541-b16a-45ca-8aa9-fa700373279f;6ceae60c-7d32-4494-8c51-3f29422fe947;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;c47a2a83-2f7d-4b23-96c8-c8389d230ca3;6a688541-b16a-45ca-8aa9-fa700373279f;fdcc251a-4337-484d-8ead-cd5dc4901354;6a688541-b16a-45ca-8aa9-fa700373279f;2011-11-01
2011-10-31;c47a2a83-2f7d-4b23-96c8-c8389d230ca3;6a688541-b16a-45ca-8aa9-fa700373279f;a5fed3df-2015-4d78-b878-d3d08d5121e7;6a688541-b16a-45ca-8aa9-fa700373279f;2007-02-01
;34073aad-7438-4174-a047-62f7a7ec2461;6a688541-b16a-45ca-8aa9-fa700373279f;a6b99881-72fb-4ee9-b5d5-08627a109806;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;9c3156c5-a14b-4d99-9484-b3e55704b988;6a688541-b16a-45ca-8aa9-fa700373279f;833a3a61-5753-46cf-b71c-74b8afb65ffd;6a688541-b16a-45ca-8aa9-fa700373279f;1999-02-01
;296f627e-a475-4057-b4d1-72a73682b546;6a688541-b16a-45ca-8aa9-fa700373279f;e27365f5-2b89-4e20-a82f-a73204357fad;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;d90dd54c-a838-4351-ba10-0a16ec667fb7;6a688541-b16a-45ca-8aa9-fa700373279f;b92bdc29-e0ec-4c49-b050-2345ca3c2b98;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;98a53332-5fd9-4493-b9a6-db9d80f5448c;6a688541-b16a-45ca-8aa9-fa700373279f;20024fde-5b9f-4df8-b84a-f159290b7a7a;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;00a976ac-4646-4751-8d23-e3b101653ea2;6a688541-b16a-45ca-8aa9-fa700373279f;f27cfe46-7c3e-4535-8a4d-b01e671aa533;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;0a9469a3-3731-46af-bcda-e2b2da4d6def;6a688541-b16a-45ca-8aa9-fa700373279f;0613da1d-bee5-48b6-9961-498c286f2f14;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;b632a9db-9db4-4a8f-9ddc-9d7754e6494b;6a688541-b16a-45ca-8aa9-fa700373279f;c115b8b0-7258-4e70-a784-476d2e4f328d;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
;bdff27a3-bc83-40b5-bdd4-8391c7a777e5;6a688541-b16a-45ca-8aa9-fa700373279f;b223f702-e2e9-4713-9f2f-f216fce15420;6a688541-b16a-45ca-8aa9-fa700373279f;2015-02-01
;aa343aa2-ad5d-45c4-88d1-0f998f7a2b1c;6a688541-b16a-45ca-8aa9-fa700373279f;077d3548-e44f-4506-90b1-2d6b994491b4;6a688541-b16a-45ca-8aa9-fa700373279f;2011-02-03
