org:role;slp:resource_uri
d69fcc38-21a6-41ee-8c0f-90be24aff805;3b2b1f18-e512-4127-919b-d7214745b8e2
d69fcc38-21a6-41ee-8c0f-90be24aff805;cf5b8f80-719e-4023-a788-0e45934ec17c
d69fcc38-21a6-41ee-8c0f-90be24aff805;5a5f59cb-fe36-4913-b34a-b602b06d816c
d69fcc38-21a6-41ee-8c0f-90be24aff805;d015cb98-8061-4f05-8d25-932e47a9c708
d69fcc38-21a6-41ee-8c0f-90be24aff805;6736e329-c525-4a74-9459-040769ecff75
d69fcc38-21a6-41ee-8c0f-90be24aff805;49f61d62-08e5-4733-b597-971f94bff397
d69fcc38-21a6-41ee-8c0f-90be24aff805;5326ee6c-7c92-4255-8d89-50f51c68f8ef
d69fcc38-21a6-41ee-8c0f-90be24aff805;6d23f8df-3f6d-4296-ac22-58223b3d0c0d
d69fcc38-21a6-41ee-8c0f-90be24aff805;fd3a31e2-f612-4595-a7d5-10a341cda06a
d69fcc38-21a6-41ee-8c0f-90be24aff805;ffb7e584-194a-4924-b76d-a8d05bba6b4c
d69fcc38-21a6-41ee-8c0f-90be24aff805;b00742b6-8d34-4403-ace4-1a8ee8806620
d69fcc38-21a6-41ee-8c0f-90be24aff805;1a97197f-2efe-4381-bbef-a742d87b991c
d69fcc38-21a6-41ee-8c0f-90be24aff805;84a819a7-f840-4164-be96-d5c89a0a479f
d69fcc38-21a6-41ee-8c0f-90be24aff805;0dafa509-2bba-46a7-9c37-efb2e43a5411
d69fcc38-21a6-41ee-8c0f-90be24aff805;f6f8f67c-9f69-4d92-a653-c7f6842b2431
d69fcc38-21a6-41ee-8c0f-90be24aff805;d24ee0b7-7c85-490d-9508-0aa4469e890d
d69fcc38-21a6-41ee-8c0f-90be24aff805;dc379576-b9ba-4fe8-8461-a46a4f7a57eb
d69fcc38-21a6-41ee-8c0f-90be24aff805;079c84f6-03df-4a03-9b95-def277589562
d69fcc38-21a6-41ee-8c0f-90be24aff805;6f54f315-7559-422f-b190-ee5b3a8112ec
d69fcc38-21a6-41ee-8c0f-90be24aff805;9eab8e97-dad7-4755-b665-d110c984f257
d69fcc38-21a6-41ee-8c0f-90be24aff805;7f89f91f-19be-4fdb-bb91-9e5672f5eb24
d69fcc38-21a6-41ee-8c0f-90be24aff805;738ff4f9-b0fa-4bc8-850e-aaef7b81fa56
d69fcc38-21a6-41ee-8c0f-90be24aff805;18f5e591-cbc9-48ab-8103-ada359c5036a
d69fcc38-21a6-41ee-8c0f-90be24aff805;e3eca037-83ab-4bc2-a1a8-3734b0e3d556
d69fcc38-21a6-41ee-8c0f-90be24aff805;40e57f80-b024-4b7b-bd8d-ea0f98a0dddc
d69fcc38-21a6-41ee-8c0f-90be24aff805;92e7de09-2841-4fc8-b776-537465b82990
d69fcc38-21a6-41ee-8c0f-90be24aff805;dabbe5e8-4c3f-467b-a19c-730e4afb524d
d69fcc38-21a6-41ee-8c0f-90be24aff805;937531e4-fcc6-4524-9eed-b32ec273655d
d69fcc38-21a6-41ee-8c0f-90be24aff805;fe97d96c-cf24-463d-984c-ce8103599a44
d69fcc38-21a6-41ee-8c0f-90be24aff805;bb53854f-4797-4a44-a212-33e5d0cb86a1
d69fcc38-21a6-41ee-8c0f-90be24aff805;7a989573-0799-42a9-b284-7bd95114c68c
d69fcc38-21a6-41ee-8c0f-90be24aff805;f7b0d3fe-eef0-4acc-bc4e-4a812600a430
d69fcc38-21a6-41ee-8c0f-90be24aff805;d89102df-cec1-41cd-a67a-0070bb31b5e3
d69fcc38-21a6-41ee-8c0f-90be24aff805;111a5a6a-bea1-4634-8a7e-f0b955fa0fc6
d69fcc38-21a6-41ee-8c0f-90be24aff805;4cab698e-18e9-446d-9554-485f68445a9a
d69fcc38-21a6-41ee-8c0f-90be24aff805;8a3690fb-3661-4826-b242-04d3d8fe5298
d69fcc38-21a6-41ee-8c0f-90be24aff805;f9197db4-e62e-4394-95d8-f62a8907e73b
d69fcc38-21a6-41ee-8c0f-90be24aff805;c1abe0eb-71f7-4a2e-89c7-1d3bb3c38ec4
d69fcc38-21a6-41ee-8c0f-90be24aff805;7b46d6aa-a6ba-492c-91f9-75bb88ddf13d
