org:role;sen:DataDesfiliacao;sen:DataFiliacao;sen:SiglaPartido;slp:resource_uri
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-09-28;2015-02-01;PSB;b63365cb-ca4c-457a-a6ea-1046aa4d9504
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-31;1999-02-01;PSDB;579b52f5-dfe1-4cbc-a227-aa0aecc22522
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PRB;c7c9eff4-a8f4-45fb-91f4-6ea1cbe7112c
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2007-02-01;PSB;2f3ad533-feed-4803-82a1-3f6d06fdced9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PP;484c708d-9b8c-4c80-b706-c76d0e8dd9cf
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1995-02-01;PMDB;46adb9a9-638b-4c2d-881a-85eafbc08882
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-11-11;DEM;443f4a6d-8e7f-4ec6-8e20-99ec6fb4cb20
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2015-11-10;2015-02-01;PTB;fe64a4a4-7ead-411b-a99f-18900ac0ca16
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2016-03-01;PSDB;b6dd9a03-f920-48d0-8b0e-237dc560f080
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2016-02-29;2016-02-04;S/Partido;3b9ce635-6e60-4489-9c0f-cf153edba5dc
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2016-02-03;2011-01-27;PMDB;4890702b-309b-495d-ab00-2b540af1ef41
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-01-26;2001-06-22;PPS;706309f7-f792-4570-a158-271963771204
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2001-06-21;1999-02-01;PSDB;0d0413d8-3105-4e4b-9c92-504ca67d4b83
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1995-02-01;PMDB;69d8e2a5-af5a-473c-a3bc-6c06a6b41994
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2016-02-18;S/Partido;3f498a1c-a82b-4a76-8d91-1ef65bc1a807
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2016-02-17;2011-02-01;PDT;eb41d40a-abe0-41e0-9c9b-0cdf06c52956
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PP;313b216b-e12d-42c5-bf26-7e8238cd3d97
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PMDB;15582b67-3e45-4f40-98d6-14c106c32020
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-02-02;1991-02-01;S/Partido;6525ac92-9f25-4443-859b-61f30262d29e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1991-01-31;1990-03-28;PRN;84d2e88e-e183-4526-a0aa-25c0183a2afb
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1990-03-27;1987-02-01;PMDB;bb4a6850-19a5-4784-b985-efc41146bc54
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;b4382f2d-e979-4161-81d3-6673b8d460bd
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-09-29;REDE;f21f4e6c-0f79-4b8f-81f9-358455fd57df
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2015-09-28;2011-01-28;PSOL;e187556f-18db-426b-900e-22a760d01533
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2007-02-01;PSDB;eb570a65-4dca-4191-ab42-25e31e67da3c
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-01-27;PDT;889270ea-3757-4086-9f3b-cf21a17dfe71
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;d8f5e234-e255-4386-87a6-31d24802939d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PV;a2bcdcf0-773b-4c11-a4a4-d51e05fa1290
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PPS;6abbea39-0dd3-4342-ba73-81a7fb89ce9f
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2018-02-26;PRB;ab8edd67-3e4e-4574-ba3b-1387683e6629
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2018-02-25;2011-02-03;PSC;8fde1d17-0e36-4226-b83d-cdb7ff20a945
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PT;b93effd9-3afe-4d95-a300-d511c05c937e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;a30d8c9c-6c83-4d63-9987-2e67c9b5bb9d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2006-12-19;1999-10-07;PL;be43eb81-7288-4897-83b8-42bd50633813
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1999-10-06;1999-02-01;PTB;aee07899-2ff9-401c-bb4a-a53d2b5800aa
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1999-02-01;PT;8abad7f0-4901-4435-96c4-7589c792b155
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PV;43bfd109-6dad-427c-9ae1-0cfd52a1ac12
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PDT;456d1151-a787-43ce-9f14-78e3e9738a06
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PSC;26272763-90f9-43ee-a74a-34c6c9138aa7
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2011-02-02;2007-02-01;S/Partido;820cc0f8-a42b-4f87-9750-6856ed8b578e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2007-01-31;2005-02-03;PMDB;d9f79d38-0084-423f-a897-eed16babfaf7
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2005-02-02;2003-09-16;PSC;4fdfea32-40bd-4b40-bd2b-a81b06c0f193
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2003-09-15;2003-04-03;S/Partido;32cffca4-2708-4c7b-ada8-f9fd18d6635d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2003-04-02;1999-02-01;PPB;1b60ef17-f046-45c9-b98c-cd9d28a3d2ed
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2007-03-14;PSDB;65b4abd3-d833-4e4b-8a9e-baf996222a1e
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2007-03-13;2007-02-01;S/Partido;f505864d-b030-4069-a18c-cb984c94a9ee
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2007-01-31;2005-06-22;PSDB;336b58eb-2bb7-433a-b492-b5a4afbc5fb1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2005-06-21;2005-06-16;S/Partido;fec9b986-8bc8-4c63-bdd9-5f2c139a3b60
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2005-06-15;2003-02-01;PFL;b009eb39-247a-4c26-b3d0-62b87c19901d
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PT;44f97dc6-05c4-405d-b3c2-d23576a67da1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PDT;1f26891f-0cce-46de-ae43-637b095bdbf3
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2017-12-18;PRTB;689b7135-57a3-41ec-adff-4895b6420e16
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;2017-12-17;2010-02-03;PMDB;50fe5fb0-0eb4-4cf8-b209-973efd07005b
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2011-02-03;PR;9441c811-6fa9-4b5a-8f02-7512650574c3
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSD;0a2cd90b-da02-4e40-aae0-4c2ca87ab808
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;1998-11-13;PT;436946f3-c8f7-48a5-9c9c-e0cfa82e81d1
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2014-07-16;PP;0e481d66-7033-4d3a-8bc2-7be33be28e99
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1999-01-31;1997-08-20;PTB;c4493850-a7d0-4802-a987-f6cb8deb83a9
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1997-08-19;1991-02-01;PFL;930f7bbb-5366-4cab-b5d4-196d537e9d6f
ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;;2015-02-01;PSD;09a1023b-dc74-45a5-a121-f3925121537e
