;cam:dataFim;cam:dataInicio;cam:descricaoCausaFimExercicio;cam:idCadastroParlamentarAnterior;cam:idCausaFimExercicio;cam:siglaUFRepresentacao;cam:situacaoExercicio;org:hasMember;org:role;slp:resource_uri
150;;2015-02-01;;;;RR;Titular;5aabca59-7418-4088-819b-210a36a9e01a;b27beba7-ca02-4041-a9e0-1793bcd141fe;7abd0410-053b-4637-9754-4f9f6888ea6c
151;;2015-02-01;;;;BA;Titular;d3fa22ac-6e44-4968-9235-7539dbdef507;b27beba7-ca02-4041-a9e0-1793bcd141fe;0fcc75f6-1c0a-40c9-97b6-cb1904a2bbf6
152;;2015-02-01;;;;MG;Titular;ac19af02-7a66-46c2-8d87-edf5f6332218;b27beba7-ca02-4041-a9e0-1793bcd141fe;818cfe37-bb25-40ad-8961-605bc79137a4
153;;2015-02-01;;;;MG;Titular;639f744d-e8fb-4f6c-84b3-8aa0d7dd1969;b27beba7-ca02-4041-a9e0-1793bcd141fe;e37f25a6-a376-427b-bce3-5cf20c4f5558
154;;2015-02-01;;;;MG;Titular;cb5e69f3-112e-4ac6-ab54-6b1183e18a78;b27beba7-ca02-4041-a9e0-1793bcd141fe;c31f6242-62f2-4206-935b-673b070824de
155;;2015-02-01;;;;PR;Titular;4864e8ec-c288-428f-8636-ba10c4873c19;b27beba7-ca02-4041-a9e0-1793bcd141fe;f71a0105-edc8-4e7e-9aaf-44e81aa1c788
156;;2015-02-01;;;;SP;Titular;9de6f066-b135-4c12-b975-7ff6c12fa0c0;b27beba7-ca02-4041-a9e0-1793bcd141fe;07de2dee-f196-4d48-a1bd-89da8b2938ce
157;;2015-02-01;;;;ES;Titular;c2540c88-9e19-4782-9dc7-0310dedd945c;b27beba7-ca02-4041-a9e0-1793bcd141fe;2871f050-fab7-4032-b348-5ab1feb228c6
158;;2016-05-17;;163321;;RS;Efetivado;a361b5d9-8289-46d9-836a-c15658180ae6;b27beba7-ca02-4041-a9e0-1793bcd141fe;74f362af-b3c8-48d7-9f2a-f69b06b48c82
159;;2015-02-01;;;;RJ;Titular;bfbeb0b7-e25a-4335-82f3-4d90f1bb339a;b27beba7-ca02-4041-a9e0-1793bcd141fe;d90abd11-b670-4f6a-9145-4afd51d39a9a
160;2015-10-27;2015-02-01;Secretário de Estado;;12;SC;Titular;65684718-2934-47f9-8349-2a1ead5b5c03;b27beba7-ca02-4041-a9e0-1793bcd141fe;5dcf337c-3062-4cd4-be62-d4a1020523a0
161;2016-05-09;2016-04-05;Secretário de Estado;;12;SC;Titular;65684718-2934-47f9-8349-2a1ead5b5c03;b27beba7-ca02-4041-a9e0-1793bcd141fe;6ad021ed-908f-4d2f-a358-1f817b55cae5
162;2016-07-19;2016-07-13;Secretário de Estado;;12;SC;Titular;65684718-2934-47f9-8349-2a1ead5b5c03;b27beba7-ca02-4041-a9e0-1793bcd141fe;d9709fe4-64d9-402f-99f6-8e431ea45edd
163;2016-10-24;2016-10-18;Secretário de Estado;;12;SC;Titular;65684718-2934-47f9-8349-2a1ead5b5c03;b27beba7-ca02-4041-a9e0-1793bcd141fe;e765cc35-66ef-47b2-81a8-ee8de66ed036
164;2017-02-07;2017-01-31;Secretário de Estado;;12;SC;Titular;65684718-2934-47f9-8349-2a1ead5b5c03;b27beba7-ca02-4041-a9e0-1793bcd141fe;3a438be0-9d54-4aba-8b6d-23f6d963ea93
165;;2017-03-15;;;;SC;Titular;65684718-2934-47f9-8349-2a1ead5b5c03;b27beba7-ca02-4041-a9e0-1793bcd141fe;40b82c37-579e-4fe7-950d-41e349c775a5
166;;2015-02-01;;;;CE;Titular;cb98efc1-d704-4835-8194-19a4f8aad940;b27beba7-ca02-4041-a9e0-1793bcd141fe;ddf19974-157c-4c8f-972f-40522a0a829c
167;;2015-02-01;;;;TO;Titular;a645da19-d634-4337-8d16-fcf150259cec;b27beba7-ca02-4041-a9e0-1793bcd141fe;9d2c5852-b10a-4b2e-92ee-9fe4ed702536
168;;2015-02-01;;;;AC;Titular;766e7eaf-ca81-4f9b-b126-544c908713e8;b27beba7-ca02-4041-a9e0-1793bcd141fe;b2e2b2c3-e181-4c23-9703-993a6687f38f
169;;2015-02-01;;;;GO;Titular;c25e28ef-e748-445e-9f49-551190b09e52;b27beba7-ca02-4041-a9e0-1793bcd141fe;7c7c9084-47d9-44d6-b7e9-33fa27b1788c
170;2016-05-23;2015-02-01;Licença Conjunta Consecutiva;;20;AL;Titular;74286c62-e7cd-427a-975b-8e359441b66f;b27beba7-ca02-4041-a9e0-1793bcd141fe;4e80d1e7-32e4-4251-87da-3bfba6de8dd5
171;;2016-09-22;;;;AL;Titular;74286c62-e7cd-427a-975b-8e359441b66f;b27beba7-ca02-4041-a9e0-1793bcd141fe;62090cf8-9326-4c53-a3f0-884929a010d8
