sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slp:resource_uri
5142;Marta Maria Freire da Costa;Marta Maria Freire da Costa;936b1c11-2ea0-4b6d-8e4c-3d6b03d57795
5086;Miguel Dias de Souza;Miguel Dias de Souza;6e1c9945-bff1-4e9d-8b68-d477f9f497d7
670;Mauro de Alencar Fecury;Mauro Fecury;a4826fa9-dcde-47aa-a4b4-eacfcea6c8f4
4998;Marinor Jorge Brito;Marinor Brito;6e84ff67-e69d-4ce0-843f-5d0a40ea9dd0
5174;Maria de Pompeia Lins Pessoa;Maria de Pompeia Lins Pessoa;74b9b29c-58f0-4fb3-b7e4-e30eadf55db6
5591;Manoel Francisco de Vasconcelos Motta;Manoel Motta;bdaab8b8-a09e-4049-8e24-3ce09a18d20f
3366;Marcelo Bezerra Crivella;Marcelo Crivella;ba6dafa8-cc3f-4eab-9d5d-4ffb5f816365
710;Marcondes Iran Benevides Gadelha;Marcondes Gadelha;279613f4-04d3-4704-a6ba-3f9b21bbe336
5190;Maria Luza de Aquino Machado;Maria Luza de Aquino Machado;969575c8-03d3-4f1c-bdf8-d95d5235309a
5124;Maria Antonieta Amorim dos Santos;Maria Antonieta Amorim dos Santos;93032104-7f52-4009-a858-98fbae3fa253
1023;Maria do Carmo do Nascimento Alves;Maria do Carmo Alves;e7d85561-0ca0-45e8-8152-c9febd711cc6
5110;Manoel Antônio Rodrigues Palma;Manoel Antônio Rodrigues Palma;652f3735-078f-4be4-a3d0-4f112b61d155
4951;Manoel Angelo Chagas;Manoel Angelo Chagas;ce1d48fc-bcab-4a87-9b9b-1967fc4939b9
631;Magno Pereira Malta;Magno Malta;bb27415e-0cc0-4136-b350-fbdc16e841d8
643;Lúcia Vânia Abrão;Lúcia Vânia;e8ceada3-78d4-4ad4-96e0-970ee79f2b81
4575;Lídice da Mata e Souza;Lídice da Mata;05155be5-3fab-4663-8d48-c60661febd6f
151;Luiz Osvaldo Pastore;Luiz Pastore;03244886-5296-4cdc-ae64-dfe1fef259ac
5557;Mailza Assis da Silva;Mailza Gomes;7893d3a0-1086-4f00-9a37-7044bd06e773
5058;Luís Guilherme Gomes Mussi;Luís Guilherme Gomes Mussi;9a5aa90c-0426-476a-89ff-b81343f95989
5002;Luiz Henrique da Silveira;Luiz Henrique;6685dbfc-f694-4584-8fe5-5d36264816f9
5040;Lirio Albino Parisotto;Lirio Albino Parisotto;946589e6-bae5-429e-b701-5e6a2b799a5b
5092;Luis Carlos Paes de Castro;Luis Carlos Paes de Castro;b86b5391-ef07-4936-b54d-adc15b1d3867
5156;Lauro Antonio Texeira Menezes;Lauro Antonio;5dce3689-8680-455d-8de5-c78cee5808c0
5567;Luis Augusto Mitoso Junior;Luis Mitoso;fe664cb8-8e4d-49a8-84b4-64c6077fc674
