slnp:resource_uri;rdfs:label
51f26e53-1cf8-487b-87ee-ff50ac3f3828;Affiliate
3448dab6-4d32-4a60-9c41-c00b6b94e632;Affiliate
5b0080bb-6eea-4b4d-a363-442d2efb66e9;Affiliate
aa328f91-dee1-41da-955e-3f99965aab9b;Affiliate
c1f061dc-70b8-4788-ab06-e337cb7c4ab9;Affiliate
1cdf93dd-8bae-4404-8029-e8fcc37369ab;Affiliate
faf86cbf-2a3b-4c91-b6cd-fe6ef453149c;Affiliate
2fedbbc9-0f60-4b87-9032-e6c469609645;Affiliate
30417a7e-ab5b-4e4f-b0e3-880e96e501b8;Affiliate
de96fcb9-4e13-49ee-8f6d-dbc0d0130748;Affiliate
50b1c9d2-87d4-430c-8fb2-23e621a9a106;Affiliate
175f21d4-229e-4707-84f4-eced7b14ebc5;Affiliate
a426056e-d434-4b59-be29-866575c6276d;Affiliate
780aec47-5d24-4d62-9488-7194f05e0a86;Affiliate
35d1f958-13a7-4d72-bf38-443c9c33209a;Affiliate
01764985-827c-4094-8aa5-0aca692ab7f8;Affiliate
f7e87e7a-6e2b-43d2-a32f-743e981a1870;Affiliate
988551c8-57f0-4cc2-9c5f-aed56bfd9ab0;Affiliate
74620080-e85c-4b12-860e-5a503aecdf5e;Affiliate
c8267b41-e8eb-404f-896c-f03a2d20e282;Affiliate
7c7a18af-685c-4274-b2f2-8a39ee727348;Affiliate
c4b7f976-f237-4324-8b68-2afe1226b761;Affiliate
815cc23f-55a8-456d-b8fe-6bb5c4c400b0;Affiliate
55c18116-39ad-4694-b756-545f7a34589a;Affiliate
62e8829d-8297-42eb-b887-b4b8121a0c05;Affiliate
f6035743-8c86-472f-a663-ff3ca6666348;Affiliate
d489175d-5b7d-4498-ab88-d95773ec0a1c;Affiliate
40b5724d-8908-4b8f-bd64-7cdce3dbc857;Affiliate
c9ac72a0-45fa-4670-b077-4cf4972aa817;Affiliate
0191153e-c28f-4ee2-a410-2954024151a6;Affiliate
2603a3dc-afeb-41c4-a399-883a83cb1013;Affiliate
fec09ca5-7710-4fb0-a50c-257692aa2730;Affiliate
1d8ff203-f291-4df7-b864-a71fe50561c0;Affiliate
6e3b78d5-ca47-4211-ae7f-7f6211de25a9;Affiliate
65866c21-2efa-4cd2-b216-76e8f47ac606;Affiliate
09a588d6-d950-4506-baaa-f7edc51237f6;Affiliate
0e856eea-e361-488c-8b17-92db31d08546;Affiliate
d7c0e6e4-0010-43df-9420-291660b55c9e;Affiliate
57c16d1f-f56a-49ae-8a3a-3a4abfe05e55;Affiliate
d363de66-b55d-4736-b69e-d219169bae8d;Affiliate
eb9b71fa-3b22-4b40-abd4-a8483b0a1499;Affiliate
05fa4af2-b2b4-4307-a093-7ff465e45864;Affiliate
511bc3fd-894b-4fbc-b1a2-ce3cfa5c7dd5;Affiliate
73f19c31-5fbb-4915-8fdc-7526f699425b;Affiliate
482d34c7-edff-4c59-8236-f1544c88ec7c;Affiliate
5b862642-7130-48f2-b0d4-00e629f059ad;Affiliate
9d2a0660-53e4-4ee8-979f-a8862436625a;Affiliate
b82871bb-f5ae-4480-9ad0-a4ac0693de34;Affiliate
1f2422b6-6e00-42bb-b7a4-7110ffadf96b;Affiliate
c7a3fa83-1b22-43d4-a09a-5f762c8bb236;Affiliate
0234aea2-c9e3-4f74-ac5d-4038f663ee90;Affiliate
3e0cbafe-3ebd-4d59-89ad-84f4fc2a8229;Affiliate
59e6b1da-af6e-4c5e-b88d-e38fed55936b;Affiliate
7f0e69e6-deee-4004-a313-5d534097f2bb;Affiliate
09cee7f4-314d-4966-9f7f-a01bc1864cc7;Affiliate
2cb8f6a1-fdb4-464a-a2d0-62232274f9ab;Affiliate
cfebfb50-3273-4daa-ba3b-97f818a2c1bb;Affiliate
6eb289dd-3765-4e66-8e0e-6e2c516b8836;Affiliate
a20590ce-34cd-4e0e-b530-1b5d28ed2abe;Affiliate
2801037f-3d4b-4a25-8287-e78df70ad551;Affiliate
ee5e834d-cc9c-418b-b09f-3c624bf15d35;Affiliate
9ccb7953-cc49-430e-b011-243490610439;Affiliate
8201d21f-2231-4173-9248-c454715ae89e;Affiliate
f8563461-ce2b-49ec-baab-7b4b9ee3db02;Affiliate
cfe29a68-f8f0-47fe-923a-d2ca4e368f20;Affiliate
4a61fb2d-ba22-49cf-bad9-a0dcf3084a3e;Affiliate
6ee4554c-f179-4fcb-ad74-51b8ca3ec0d6;Affiliate
5b62bdf1-52b6-4db8-9b5a-7cee7304a958;Affiliate
4e54c585-bfa5-4808-839a-902c92f10922;Affiliate
ae3c5955-2e15-4831-9da8-692367d2f9f8;Affiliate
e36af33e-555d-4b41-91b6-e9acb185b965;Affiliate
603f7873-1e22-4231-ae4b-c42d7dbc34e2;Affiliate
fe2087e9-2d85-40b7-bfb8-5d381b8e270e;Affiliate
61e257a0-cae3-4ee8-bce7-b7343578b93e;Affiliate
02a3b1d8-358f-4362-a7d3-e5a97a8d6d67;Affiliate
a8a5941c-fcab-4127-a2f5-427370205066;Affiliate
63c74b1d-b3a6-47d4-bdbe-aea437202b64;Affiliate
ac0be6fb-c5a2-49cc-a5a6-8f606d37759d;Affiliate
cb2f5ab4-4e7d-43a4-b2db-f609ce700568;Affiliate
cf02c50a-4c75-4901-a586-6358823905fd;Affiliate
e9770407-661d-40c6-bb9d-ed05ea030147;Affiliate
d353aa02-a433-4631-a298-877ef579ed92;Affiliate
c06a2e2f-c8b9-4ece-868d-27b9b196f4a4;Affiliate
11d1db81-065e-4833-b6c8-186c476e40f3;Affiliate
6274c7d8-f8d7-46e2-8d6d-c01129da7c05;Affiliate
05b32b45-fda9-4198-bdec-668e7941c731;Affiliate
e4173785-af7d-4450-82c0-89a8e675d6b1;Affiliate
e7382cbd-7172-4661-b01c-83b936ee2f94;Affiliate
dcf71596-a82f-4cc6-8eb6-466389addb56;Affiliate
75ecb978-f4cb-468b-b0ad-bf1a37dce967;Affiliate
e29c1294-31f1-44f8-a01d-56a605fb9329;Affiliate
e12e8e39-ea39-4fb9-abcb-0dbcd15b436e;Affiliate
7c9b5cab-1d0e-45a5-93c6-3119ffd7300d;Affiliate
9c7ad9ff-7623-4d26-ace1-ecae502422f5;Affiliate
a310f9fd-4fa1-4f68-aadf-a0ed5a75f7b6;Affiliate
7b0f6376-a233-47ec-9378-eb2e0177fa49;Affiliate
81cba251-3287-4255-b9ac-f2baec4fe4d8;Affiliate
c2dfa0fb-241e-406e-8e38-ea3914ba7fd7;Affiliate
15ef5e83-fb58-4ef8-bb2f-6a86d7923e0b;Affiliate
e369197f-5fe3-4dbf-b52c-80ec3926e921;Affiliate
9d4316fa-dfa7-4854-8c40-7eb244bdfc95;Affiliate
55442177-953e-4e8f-8ad2-52aea840671e;Affiliate
d879d169-8a5f-4fc1-9269-0e2642ffa0ac;Affiliate
18a46753-a80a-478f-8255-1604193f0254;Affiliate
42b93331-091a-4f47-a84a-909dedcb2887;Affiliate
5ab1dcfd-26df-45eb-9d7d-f1ea73b3e2f7;Affiliate
aa51f3b9-eef7-4253-868f-fe32b4bb1aa5;Affiliate
1655dff4-555d-4c94-a74e-6d7763581454;Affiliate
0ba43a22-b482-4bb1-8799-aef0b5e91566;Affiliate
0841291e-dd97-4e13-bb29-ce4fbea10b7e;Affiliate
ba425d23-1bd6-433b-b832-b9566ca1c4e1;Affiliate
