slnp:resource_uri;cam:dataFalecimento;cam:dataNascimento;cam:ideCadastro;cam:nomeCivil;cam:nomeParlamentarAtual;sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar
dbef1c04-8972-4b34-a5b9-c47d9f68f56d;;1952-01-04;141417.0;ÉDIO VIEIRA LOPES;EDIO LOPES;;;
a34661ca-182a-4bc2-9342-e145b58789ee;;1963-12-15;178994.0;DULCE FERREIRA PAGANI MIRANDA;DULCE MIRANDA;;;
6d8fb083-db6f-4d94-8820-ab7924396630;;1949-07-30;73447.0;EDSON EDINHO COELHO ARAÚJO;EDINHO ARAÚJO;;;
fbd253f5-d926-4af8-ad55-125ca1d1ba31;;1964-05-16;141385.0;ANTONIO DUARTE NOGUEIRA JÚNIOR;DUARTE NOGUEIRA;;;
eb090a25-6a31-48ba-b8ea-5220c919c4ce;;1959-09-26;160578.0;EDMAR DE SOUZA ARRUDA;EDMAR ARRUDA;;;
8a742c5a-a714-4684-9d48-fcedd24b9f03;;1982-01-24;181316.0;ELIZEU DIONIZIO SOUZA DA SILVA;ELIZEU DIONIZIO;;;
5c5b3dfb-f0a7-482b-b0a0-86863c98bdd7;;1952-06-03;160643.0;JORGE SILVA;DR. JORGE SILVA;;;
ae83be0e-d75c-4a5d-87b0-3830b6643664;;1951-02-23;178830.0;SINVAL MALHEIROS PINTO JÚNIOR;DR. SINVAL MALHEIROS;;;
c4befed6-2e1d-4bd7-9356-9c011f971a98;;1984-10-10;178929.0;DIEGO ALEXSANDER GONCALO PAULA GARCIA;DIEGO GARCIA;;;
32044dd4-a5ad-4841-8bd8-beb13d9a60c5;;1950-08-05;178940.0;JOAO FERREIRA NETO;DR. JOÃO;;;
a643c0d9-e2bb-4b8c-b601-2654298e26bf;;1957-03-25;160758.0;DOMINGOS SÁVIO CAMPOS RESENDE;DOMINGOS SÁVIO;;;
29ef5845-b89a-4ca7-b54d-bc02bd3e363e;;1977-08-08;160588.0;DIEGO LEONARDO DE ANDRADE CARVALHO;DIEGO ANDRADE;;;
9d717d97-50eb-4d60-8822-afc707217b38;;1973-05-23;160599.0;DIMAS FABIANO TOLEDO JÚNIOR;DIMAS FABIANO;;;
13dffb43-6f8d-4239-82d7-38f69c147851;;1988-04-29;143632.0;DOMINGOS GOMES DE AGUIAR NETO;DOMINGOS NETO;;;
ac3c1968-0b32-496d-b03d-0d6d5d2a8b84;;1962-11-28;164359.0;WALDIR SOARES DE OLIVEIRA;DELEGADO WALDIR;;;
ce85b56a-9722-4b14-8393-5d5bb40bc4dd;;1960-10-01;141413.0;DÉCIO NERY DE LIMA;DÉCIO LIMA;;;
491a964d-a944-4656-ae75-a294f714c026;;1960-12-14;178908.0;EDER MAURO CARDOSO BARRA;DELEGADO ÉDER MAURO;;;
90885038-66ec-4ba7-8b80-d5f414fd1307;;1959-08-28;74172.0;WANDERLEY ALVES DE OLIVEIRA;DELEY;;;
2e226de9-b80f-4104-9bc4-160ca3721ab2;;1970-03-26;160646.0;FERNANDO DESTITO FRANCISCHINI;DELEGADO FRANCISCHINI;;;
f44dbc68-46e8-466b-93dc-0eb5b4d2a7f9;;1974-06-18;196357.0;DEJORGE PATRICIO DA SILVA;DEJORGE PATRÍCIO;;;
2f501697-a2c1-4ea3-a318-58f18fd98d47;;1960-11-07;101309.0;DAVIDSON DE MAGALHÃES SANTOS;DAVIDSON MAGALHÃES;;;
09b672a8-be3a-4828-abeb-b8bd682ea3c3;;1959-04-16;178893.0;EDSON MOREIRA DA SILVA;DELEGADO EDSON MOREIRA;;;
0c92b854-41ff-4d55-939c-518298453448;;1962-12-09;185500.0;DEOCLIDES ANTONIO SANTOS NETO MACEDO;DEOCLIDES MACEDO;;;
22f2ad04-c5a4-4f2d-a8fa-d52344db1ac7;;1955-01-21;74060.0;DANIEL GOMES DE ALMEIDA;DANIEL ALMEIDA;;;
4dcc5a3d-2493-4198-9a31-7cfc32fd2388;;1976-11-22;141412.0;DAVI ALVES SILVA JÚNIOR;DAVI ALVES SILVA JÚNIOR;;;
cf160719-9c00-4827-9161-d6acc6c45ea4;;1947-04-02;73891.0;DARCÍSIO PAULO PERONDI;DARCÍSIO PERONDI;;;
9fb63854-5755-4446-823c-d09644debdc5;;1955-07-21;141411.0;DAGOBERTO NOGUEIRA FILHO;DAGOBERTO NOGUEIRA;;;
532176c6-ae13-4b60-ae57-7074fd82984f;;1952-04-28;74467.0;DAMIÃO FELICIANO DA SILVA;DAMIÃO FELICIANO;;;
061b939a-63fd-4174-9f63-60a062afb15a;;1952-12-02;178892.0;DAMINA DE CARVALHO PEREIRA;DÂMINA PEREIRA;;;
d563a712-4b1f-41d2-8c67-3eb06055b247;;1966-01-01;178848.0;MARIA DA CONCEICAO SAMPAIO MOURA;CONCEIÇÃO SAMPAIO;;;
a65562c9-24fe-4d3b-adc0-754db6fc8b05;;1973-12-21;93472.0;CRISTIANE BRASIL FRANCISCO;CRISTIANE BRASIL;;;
1dcaedca-d8b1-4e86-a430-901a9c505cd4;;1963-12-01;74537.0;CLÁUDIO CAJADO SAMPAIO;CLAUDIO CAJADO;;;
adf5a62f-917c-48f8-87cd-135c2a5dc40b;;1987-07-25;178963.0;LUIS ANTONIO FRANCISCATTO COVATTI;COVATTI FILHO;;;
ec192e8c-5ba5-45c1-be66-7081079ad815;;1972-05-10;141408.0;CLEBER VERDE CORDEIRO MENDES;CLEBER VERDE;;;
