cam:dataFim;cam:dataInicio;cam:siglaUFRepresentacao;org:member;org:post;org:postIn;org:role;slp:resource_uri
2018-02-19;2015-02-01;SP;0685388c-49fd-42f8-a945-080138e67328;2295727b-d028-4ed0-8491-82e6a692ce78;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;e6e6f6fb-68ec-40e7-8cdd-a52ed5c035dd
;2015-02-01;SP;f82dcb07-a11b-4620-a5ec-9d7784a861ed;36c289c6-ef22-49bf-b8d3-2425973df800;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;17e839cd-5604-4f9a-ba17-6c5fd885bb7a
;2015-02-01;RS;81f5e736-f84f-44c6-8f63-f64947aadcc4;4b761f6e-e80d-4da7-a875-38079a9afa14;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;db955b9f-8443-41e6-9403-a864cc940513
;2015-02-01;GO;413a3ac3-bcd0-4bb9-9b49-b03ce2014e06;20e45ffe-9d18-4e28-b168-6814a944ef9a;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;c72ef8cc-015e-4ee9-ace4-f36f00bc049a
;2015-02-01;RJ;dc487c48-3d09-4709-a107-2b1fabe26f6a;e925721a-17f3-4eb7-8c6d-16413a253ded;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;fb7b4218-6513-4957-a234-ba272d376fc5
;2015-02-01;BA;6352fe51-c310-409c-82f4-088130e6973d;c62f7b48-92a7-47ae-9a90-290d4d596fdc;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;83c95cf6-1eb1-46c2-9683-40186abed19a
2016-04-06;2015-02-01;SP;2b913d98-5ab3-4605-937d-ec26e40f09c7;effc91fa-f060-44dd-9a96-130df99e11e0;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;78d031b8-0c3a-4aad-a81e-a1bec51d2aa5
2016-05-12;2015-02-01;RS;c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4;60c3fbab-82e2-40aa-b044-18a65f9544a3;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;83c40af2-5ee1-4a99-a8da-9d9202a1cbce
;2015-02-01;MS;c5c7c191-13e4-435c-92f9-4387209d3f1d;87f544b5-ca32-47d6-88b1-3b080f9fc7d3;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;61c60c27-ec08-4d3f-8aac-b4e2a9a0d86f
;2015-02-01;MS;751854d4-1a34-467e-a257-1733509ca504;667ab038-7fac-4cc5-8c58-aebad638c52e;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;d6ca2feb-aa87-4bca-b107-4ed51bc9242b
;2015-02-01;MA;cbb14715-0305-430d-bc1c-dbf011a2b347;84085982-f323-4c97-8701-916e7d987baf;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;d3163ccf-c040-43a9-a487-e100a3c52d48
;2015-02-01;BA;df2a33e0-8cd7-4952-8b5d-d3d4f8f7aa3a;16c07f3e-8682-4230-8bbc-2d6f9e678cd4;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;20e87bea-8efc-4b7b-a040-01324d630932
;2015-02-01;MT;06542a65-3e37-489a-b14d-8f29edd32f86;293c6a70-d33c-460d-a30d-95f88c1d678f;c8f660fd-7d0b-48e5-8513-2f7f0bb5f91c;b27beba7-ca02-4041-a9e0-1793bcd141fe;cea81291-0554-48c7-a696-1ae6b38ea76b
