cam:dataFim;cam:dataInicio;cam:sigla;org:member;org:post;org:postIn;org:role;slp:resource_uri
;;S.PART.;08f29f51-d0dc-46ac-b318-378e0f7be3d8;019700f0-ef3b-4382-86ac-380686f77add;7b214aa8-df61-11e7-a515-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;c6a7cb9f-7fa6-47b5-bb3a-1cfb1d18e281
;;DEM;08f29f51-d0dc-46ac-b318-378e0f7be3d8;d22d2b05-a8c1-4335-aab4-d0dd798cd03c;7b20ed7e-df61-11e7-bb65-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e9dbe5db-2363-47d5-8bc9-354dc731a1e7
;;PSB;1cc9126a-dd9b-4be8-8e09-0b4c46743473;50e9b126-006f-44ae-a9af-230313b341be;7b212b86-df61-11e7-9f98-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;3f11801e-5d44-4637-afe9-d8f2c3b20d9c
;;PMDB;0bcb1eba-2805-43e2-8565-959c8b31c187;3e15cb1e-8a6b-4880-8c45-a34b192c9e9c;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;fe8db2ae-9798-489d-8628-ba46a75cbcb8
;;PSC;95fce76e-e824-4977-8386-bffc05763371;631d77e6-42e4-4dba-8cdb-cc6ad4df2d64;7b212c9e-df61-11e7-a12b-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;21b11690-41a8-405f-9090-fbb798107ea9
;;PSL;95fce76e-e824-4977-8386-bffc05763371;9113055c-493a-4f8c-b001-a92747d9d881;7b213086-df61-11e7-aa5b-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;7a47413e-66d1-4ee4-857a-b2d9f9ed8c94
;;PRTB;12742186-5bc8-4bd9-932c-fe247f8c6f3c;2e4a76d3-e0b6-4f49-9078-f1573ab87dca;7b21297e-df61-11e7-8546-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;ac139342-65a7-4493-8f43-dba5c6dde07d
;;PSD;12742186-5bc8-4bd9-932c-fe247f8c6f3c;a1f0837e-0c12-4b46-ac70-5ace01cb5b32;7b212d98-df61-11e7-95f7-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;4cbbe8e6-c835-4d18-9d54-415e210fdbcc
;;PMDB;12742186-5bc8-4bd9-932c-fe247f8c6f3c;3d832ee7-a204-4550-b1bf-5056702c96d8;7b210cfa-df61-11e7-9864-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;1cf8e031-7f4e-4413-b2aa-1014222cc513
;;PODE;12742186-5bc8-4bd9-932c-fe247f8c6f3c;d00f6e2a-1343-4413-95fb-32eb091c3e1b;7b214350-df61-11e7-b1a0-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;0a5e31cb-8102-4f16-acc7-22f5e10b5d10
;;PHS;12742186-5bc8-4bd9-932c-fe247f8c6f3c;71284d40-1d04-4897-a4e2-5584e07388a2;7b2107c8-df61-11e7-a617-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;e10c8d39-4c53-4c79-9dca-ac37417c2abc
;;PSDB;15d73351-e972-4a4b-8bae-80ac730513b5;a138bd81-cfbb-4f4e-a876-fef6d157c8f8;7b212e92-df61-11e7-aaf4-c82a144c0a85;ebf7f8f0-1b0a-4662-9ed8-c9bb19936ec0;98815f33-a3de-4950-920b-9ab8a8280eec
