org:member;org:postIn;org:role;org:startDate;owner;resource_uri
5002;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;cfb133ff-427c-4b31-aaec-708605ae42a4
5156;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2014-07-23;4721;1fdfed4a-3b67-4e8e-9927-4446fbe027a9
5156;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-12-06;4721;1fdfed4a-3b67-4e8e-9927-4446fbe027a9
3695;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-01;;b14ad2fe-aaeb-4b13-818c-e3a3bd7697f3
5533;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;ab99e70a-8d17-497b-8deb-ccc0242ad575
3579;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-02-02;16;e0c3136a-1fd4-4b20-9ffa-d045fc417534
1249;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2016-05-12;;a17d3cde-105c-483a-ab33-c8e153c8865e
1249;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2015-02-01;;a17d3cde-105c-483a-ab33-c8e153c8865e
916;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2013-08-08;;df6420b5-9190-4842-870b-408308a8b18a
916;81311052-e5b6-46fe-87ba-83865fa0ffb0;d57a29ff-c69a-4b32-b98a-3dd8f204c0a3;2011-09-01;;df6420b5-9190-4842-870b-408308a8b18a
