sen:CodigoParlamentar;sen:NomeCompletoParlamentar;sen:NomeParlamentar;slnp:resource_uri
950;João Alberto de Souza;João Alberto Souza;e6eea339-03b2-493b-8b22-ad88f79f3802
5036;José de Macedo Ferreira;José de Macedo Ferreira;256ea893-005e-4b48-a96c-86c8bdcfb286
90;José Serra;José Serra;b863ef50-a1c4-4c58-927e-9f6e4bb460ac
5180;José Rodrigues da Silva;José Rodrigues da Silva;1f32bda8-c247-41db-a3c5-670b38cda0bf
5112;José Antônio Medeiros;José Medeiros;cbde624b-8d07-4544-b9ca-78ccff6e8434
3361;José Targino Maranhão;José Maranhão;95c59084-8011-4227-aff3-0fc2a0fbda33
5579;José Carlos de Moraes Vasconcellos Filho;José Carlos Vasconcellos;9eebd88b-f69b-4bcd-8f70-5e225375197b
43;José Eduardo de Barros Dutra;José Eduardo Dutra;cedcc08c-f83f-41b7-99c1-c8599d90431a
5030;José Givago Raposo Tenório;José Givago Raposo Tenório;a76b1277-bedd-489a-944e-cf63223a8a03
5120;José Antonio Guidoni;José Antonio Guidoni;08b06ceb-5f4b-4a4a-9b85-518fe2238668
878;José Aníbal Peres de Pontes;José Aníbal;37b61bdc-5b46-4e16-81d4-68d30e404d09
5188;José Amauri Pereira de Araújo;José Amauri;cbb3da3a-a0db-420b-9d68-fbd142c1fec9
5090;José Alberto Wenzel;José Alberto Wenzel;2bcac6a3-41b2-4854-b02b-1fdc9e8b238a
40;José Agripino Maia;José Agripino;4cb1771f-7a79-43d1-990b-2932aa028a86
5078;Jose Nagib da Silva Lima;Jose Nagib da Silva Lima;dc3a7059-f56a-4049-81ca-3a09db7f1b2c
5849;Jose Amauri P. de Araújo;;a9868998-8e90-451c-8e39-7d45a905795a
5609;Joel Malucelli;Joel Malucelli;8999a69b-0772-41b7-9ed3-b8ab6f845fd8
5569;Jose Samuel Alcolumbre Tobelem;Josiel;65b94c53-7bdc-49a9-90ce-f90ae5d62c01
4885;Jorge Yoshiaki Yanai;Jorge Yanai;eaa77fdb-263e-48ce-a698-53de1ab39d8d
724;Joaquim Francisco de Freitas Cavalcanti;Joaquim Francisco;d198b2a7-1bf7-4011-8a03-bcc9f4de2f68
5627;Jean-Paul Terra Prates;Jean-Paul Prates;d9c6645b-e4d3-434d-9609-48ae3aaa8c84
4990;Jorge Ney Viana Macedo Neves;Jorge Viana;9d5dd4c7-0d8d-444e-a47f-81a05f29c617
5022;Janduhy Max Freire de Andrade;Janduhy Max Freire de Andrade;0d3cf976-a151-4909-a1d6-cabd136d8eb8
35;Jader Fontenelle Barbalho;Jader Barbalho;d6120811-8345-4926-ae45-3251f6e7bf10
5004;Ivo Narciso Cassol;Ivo Cassol;9bd789f2-b4b5-4be6-b35d-856b842dfefa
1754;Itamar Augusto Cautiero Franco;Itamar Franco;1e5792f4-e6c3-4b4c-9696-834865cd427e
5100;Hélio José da Silva Lima;Hélio José;bf24d93b-6682-41a0-98f3-ebb0d3c414c3
5008;Humberto Sérgio Costa Lima;Humberto Costa;aeaea45c-bd1d-403e-a0d8-307e2071c440
5418;Ivanci Magno;Ivanci Magno;06ec6596-0cc9-49e3-a7a6-4d6e006cbc36
5076;Ione Borges Ribeiro Guimarães;Ione Borges Ribeiro Guimarães;15d1d6bc-8b67-4fc9-b719-7ea74e1563a4
5006;Gleisi Helena Hoffmann;Gleisi Hoffmann;eded5fb8-1b64-4084-8f10-f18ad13ec878
5615;Gilberto Piselo do Nascimento;Gilberto Piselo;8d54f6f0-803d-4806-ad79-b808900d685c
4558;Gladson de Lima Cameli;Gladson Cameli;3693ffb0-711f-4807-ac51-7e725b1a1caf
5128;Gino Jose Ferreira;Gino Jose Ferreira;1aa826e5-29ce-4709-9b2e-1a2ee704d395
5088;Gilberto Corazza;Gilberto Corazza;b1c50570-72f2-4c57-a66c-a473b42bf2f6
4522;Geovani Pinheiro Borges;Geovani Borges;911fcf64-45e6-4898-a18b-49bbcfc9840f
30;Gilvam Pinheiro Borges;Gilvam Borges;9fccaaeb-d2ec-497f-a02c-75dc1eb754f0
87;Garibaldi Alves Filho;Garibaldi Alves Filho;88bbf09c-61be-4d99-bd78-43941ed8a815
5024;Gabriel Maia Gelpke;Gabriel Maia Gelpke;285f3dc3-a579-454a-a7c4-c5f1a88e8521
5162;Félix Urano Gama de Souza;Félix Urano Gama de Souza;79c36161-d4e7-451f-9c6a-42f3058a8b7e
